nfull,nabb,if
CIRCULATION,CIRCULATION,17.202
CIRCULATION RESEARCH,CIRC RES,11.551
HYPERTENSION,HYPERTENSION,6.35
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,5.969
STROKE,STROKE,5.787
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,J THROMB HAEMOST,5.565
CURRENT OPINION IN LIPIDOLOGY,CURR OPIN LIPIDOL,5.336
THROMBOSIS AND HAEMOSTASIS,THROMB HAEMOSTASIS,5.255
JOURNAL OF HYPERTENSION,J HYPERTENS,5.062
Journal of Stroke,J STROKE,4.795
ANGIOGENESIS,ANGIOGENESIS,4.301
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
ATHEROSCLEROSIS,ATHEROSCLEROSIS,3.942
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,3.505
JOURNAL OF VASCULAR SURGERY,J VASC SURG,3.454
CEREBROVASCULAR DISEASES,CEREBROVASC DIS,3.359
ATHEROSCLEROSIS SUPPLEMENTS,ATHEROSCLEROSIS SUPP,3.356
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,AM J PHYSIOL-HEART C,3.324
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,CURR OPIN NEPHROL HY,3.232
HYPERTENSION RESEARCH,HYPERTENS RES,3.208
AMERICAN JOURNAL OF HYPERTENSION,AM J HYPERTENS,3.182
JOURNAL OF ENDOVASCULAR THERAPY,J ENDOVASC THER,3.128
CURRENT HYPERTENSION REPORTS,CURR HYPERTENS REP,3.112
SHOCK,SHOCK,3.048
International Journal of Stroke,INT J STROKE,3.044
Diabetes & Vascular Disease Research,DIABETES VASC DIS RE,3.035
Current Atherosclerosis Reports,CURR ATHEROSCLER REP,3.006
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
ANGIOLOGY,ANGIOLOGY,2.931
