nfull,nabb,if
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,47.12
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,18.393
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,15.606
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,14.769
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,11.84
PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,11
MEDICINAL RESEARCH REVIEWS,MED RES REV,9.135
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,7.95
JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,7.441
CLINICAL PHARMACOLOGY & THERAPEUTICS,CLIN PHARMACOL THER,7.268
NEUROPSYCHOPHARMACOLOGY,NEUROPSYCHOPHARMACOL,6.399
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,ALIMENT PHARM THER,6.32
DRUG DISCOVERY TODAY,DRUG DISCOV TODAY,5.625
Expert Opinion on Drug Delivery,EXPERT OPIN DRUG DEL,5.434
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS,CRIT REV THER DRUG,5.367
Reviews of Physiology Biochemistry and Pharmacology,REV PHYSIOL BIOCH P,5.333
BRITISH JOURNAL OF PHARMACOLOGY,BRIT J PHARMACOL,5.259
BIOCHEMICAL PHARMACOLOGY,BIOCHEM PHARMACOL,5.091
NEUROPHARMACOLOGY,NEUROPHARMACOLOGY,4.936
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,J ANTIMICROB CHEMOTH,4.919
CNS DRUGS,CNS DRUGS,4.91
ANTIVIRAL RESEARCH,ANTIVIR RES,4.909
Journal of Clinical Lipidology,J CLIN LIPIDOL,4.906
DRUGS,DRUGS,4.883
DRUG DELIVERY,DRUG DELIV,4.843
CLINICAL PHARMACOKINETICS,CLIN PHARMACOKINET,4.829
PHARMACOLOGICAL RESEARCH,PHARMACOL RES,4.816
EXPERT OPINION ON THERAPEUTIC TARGETS,EXPERT OPIN THER TAR,4.798
CURRENT OPINION IN PHARMACOLOGY,CURR OPIN PHARMACOL,4.769
Neurotherapeutics,NEUROTHERAPEUTICS,4.676
EXPERT OPINION ON THERAPEUTIC PATENTS,EXPERT OPIN THER PAT,4.626
DRUG METABOLISM REVIEWS,DRUG METAB REV,4.526
Frontiers in Pharmacology,FRONT PHARMACOL,4.418
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,ANTIMICROB AGENTS CH,4.415
EUROPEAN NEUROPSYCHOPHARMACOLOGY,EUR NEUROPSYCHOPHARM,4.409
EXPERT OPINION ON INVESTIGATIONAL DRUGS,EXPERT OPIN INV DRUG,4.408
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,4.361
JOURNAL OF MANAGED CARE PHARMACY,J MANAGE CARE PHARM,4.342
MOLECULAR PHARMACEUTICS,MOL PHARMACEUT,4.342
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,4.333
International Journal of Nanomedicine,INT J NANOMED,4.32
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,INT J ANTIMICROB AG,4.097
CNS Neuroscience & Therapeutics,CNS NEUROSCI THER,4.019
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
INTERNATIONAL JOURNAL OF PHARMACEUTICS,INT J PHARMACEUT,3.994
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,EUR J PHARM BIOPHARM,3.975
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
MOLECULAR PHARMACOLOGY,MOL PHARMACOL,3.931
Journal of Neuroimmune Pharmacology,J NEUROIMMUNE PHARM,3.896
TOXICOLOGY AND APPLIED PHARMACOLOGY,TOXICOL APPL PHARM,3.847
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,BRIT J CLIN PHARMACO,3.83
AAPS Journal,AAPS J,3.819
TOXICOLOGY,TOXICOLOGY,3.817
PHARMACOGENOMICS JOURNAL,PHARMACOGENOMICS J,3.784
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,EUR J PHARM SCI,3.773
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,J PHARMACOL EXP THER,3.76
Current Neuropharmacology,CURR NEUROPHARMACOL,3.753
International Journal for Parasitology-Drugs and Drug Resistance,INT J PARASITOL-DRUG,3.746
JOURNAL OF NATURAL PRODUCTS,J NAT PROD,3.662
JOURNAL OF PSYCHOPHARMACOLOGY,J PSYCHOPHARMACOL,3.637
EXPERT OPINION ON PHARMACOTHERAPY,EXPERT OPIN PHARMACO,3.543
Expert Review of Anti-Infective Therapy,EXPERT REV ANTI-INFE,3.542
PSYCHOPHARMACOLOGY,PSYCHOPHARMACOLOGY,3.54
Recent Patents on Anti-Cancer Drug Discovery,RECENT PAT ANTI-CANC,3.533
Expert Opinion on Drug Discovery,EXPERT OPIN DRUG DIS,3.484
CURRENT MEDICINAL CHEMISTRY,CURR MED CHEM,3.455
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
INVESTIGATIONAL NEW DRUGS,INVEST NEW DRUG,3.281
PHARMACEUTICAL RESEARCH,PHARM RES-DORDR,3.26
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
DRUG METABOLISM AND DISPOSITION,DRUG METAB DISPOS,3.21
DRUG SAFETY,DRUG SAFETY,3.206
CARDIOVASCULAR DRUGS AND THERAPY,CARDIOVASC DRUG THER,3.189
JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,J PHARMACEUT BIOMED,3.169
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,3.166
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,BASIC CLIN PHARMACOL,3.097
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,3.055
CURRENT PHARMACEUTICAL DESIGN,CURR PHARM DESIGN,3.052
CURRENT DRUG TARGETS,CURR DRUG TARGETS,3.029
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,J CLIN PSYCHOPHARM,3
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
ChemMedChem,CHEMMEDCHEM,2.98
PHYTOMEDICINE,PHYTOMEDICINE,2.937
PULMONARY PHARMACOLOGY & THERAPEUTICS,PULM PHARMACOL THER,2.93
CLINICAL THERAPEUTICS,CLIN THER,2.925
ANTIVIRAL THERAPY,ANTIVIR THER,2.916
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,PHARMACOEPIDEM DR S,2.908
Expert Opinion On Drug Safety,EXPERT OPIN DRUG SAF,2.896
Drug Design Development and Therapy,DRUG DES DEV THER,2.881
BIODRUGS,BIODRUGS,2.867
Drug Testing and Analysis,DRUG TEST ANAL,2.859
Pharmacogenetics and Genomics,PHARMACOGENET GENOM,2.857
CURRENT DRUG METABOLISM,CURR DRUG METAB,2.847
CANCER CHEMOTHERAPY AND PHARMACOLOGY,CANCER CHEMOTH PHARM,2.824
JOURNAL OF DRUG TARGETING,J DRUG TARGET,2.821
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
NEUROTOXICOLOGY,NEUROTOXICOLOGY,2.738
EUROPEAN JOURNAL OF PHARMACOLOGY,EUR J PHARMACOL,2.73
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,EUR J CLIN PHARMACOL,2.71
PHARMACOGENOMICS,PHARMACOGENOMICS,2.71
PHYTOTHERAPY RESEARCH,PHYTOTHER RES,2.694
LIFE SCIENCES,LIFE SCI,2.685
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
JOURNAL OF PHARMACEUTICAL SCIENCES,J PHARM SCI-US,2.641
CHEMICO-BIOLOGICAL INTERACTIONS,CHEM-BIOL INTERACT,2.618
DRUGS & AGING,DRUG AGING,2.61
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Molecular Diagnosis & Therapy,MOL DIAGN THER,2.602
Expert Opinion on Drug Metabolism & Toxicology,EXPERT OPIN DRUG MET,2.598
PHARMACOTHERAPY,PHARMACOTHERAPY,2.592
Expert Review of Neurotherapeutics,EXPERT REV NEUROTHER,2.578
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
PHARMACOECONOMICS,PHARMACOECONOMICS,2.566
JOURNAL OF CLINICAL PHARMACOLOGY,J CLIN PHARMACOL,2.555
INTERNATIONAL IMMUNOPHARMACOLOGY,INT IMMUNOPHARMACOL,2.551
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,J CARDIOVASC PHARM T,2.538
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,2.537
PEPTIDES,PEPTIDES,2.535
Microbial Drug Resistance,MICROB DRUG RESIST,2.529
ADVANCES IN THERAPY,ADV THER,2.503
VASCULAR PHARMACOLOGY,VASC PHARMACOL,2.5
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,2.49
Expert Review of Clinical Pharmacology,EXPERT REV CLIN PHAR,2.488
SKIN PHARMACOLOGY AND PHYSIOLOGY,SKIN PHARMACOL PHYS,2.488
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,J CARDIOVASC PHARM,2.462
BIOPHARMACEUTICS & DRUG DISPOSITION,BIOPHARM DRUG DISPOS,2.457
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,AM J HEALTH-SYST PH,2.451
ALCOHOL,ALCOHOL,2.44
HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,HUM PSYCHOPHARM CLIN,2.44
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,DRUG DEV IND PHARM,2.429
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,INT CLIN PSYCHOPHARM,2.415
Journal of Ethnobiology and Ethnomedicine,J ETHNOBIOL ETHNOMED,2.414
FITOTERAPIA,FITOTERAPIA,2.408
NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,N-S ARCH PHARMACOL,2.376
Current Vascular Pharmacology,CURR VASC PHARMACOL,2.374
JOURNAL OF PHARMACY AND PHARMACOLOGY,J PHARM PHARMACOL,2.363
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,J PHARM PHARM SCI,2.33
BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,2.326
TOXICON,TOXICON,2.309
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
ANTI-CANCER DRUGS,ANTI-CANCER DRUG,2.268
Pharmacological Reports,PHARMACOL REP,2.251
Cardiovascular Therapeutics,CARDIOVASC THER,2.243
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,2.233
SAUDI PHARMACEUTICAL JOURNAL,SAUDI PHARM J,2.233
REGULATORY TOXICOLOGY AND PHARMACOLOGY,REGUL TOXICOL PHARM,2.227
CNS & Neurological Disorders-Drug Targets,CNS NEUROL DISORD-DR,2.188
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,ENVIRON TOXICOL PHAR,2.187
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,2.173
SAFETY SCIENCE,SAFETY SCI,2.157
FUNDAMENTAL & CLINICAL PHARMACOLOGY,FUND CLIN PHARMACOL,2.156
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,J CHILD ADOL PSYCHOP,2.149
JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,J PHARMACOL TOX MET,2.147
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,EXP CLIN PSYCHOPHARM,2.139
Biomolecules & Therapeutics,BIOMOL THER,2.127
EXPERT OPINION ON EMERGING DRUGS,EXPERT OPIN EMERG DR,2.12
ANNALS OF PHARMACOTHERAPY,ANN PHARMACOTHER,2.119
IEEE Systems Journal,IEEE SYST J,2.114
JOURNAL OF PHARMACOLOGICAL SCIENCES,J PHARMACOL SCI,2.106
THERAPEUTIC DRUG MONITORING,THER DRUG MONIT,2.094
PEDIATRIC DRUGS,PEDIATR DRUGS,2.077
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
Contemporary Clinical Trials,CONTEMP CLIN TRIALS,2.052
ARCHIV DER PHARMAZIE,ARCH PHARM,2.043
BMC Pharmacology & Toxicology,BMC PHARMACOL TOXICO,2.03
CHIRALITY,CHIRALITY,2.025
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,CLIN EXP PHARMACOL P,2.004
BEHAVIOURAL PHARMACOLOGY,BEHAV PHARMACOL,2
PLANTA MEDICA,PLANTA MED,1.99
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
Endocrine Metabolic & Immune Disorders-Drug Targets,ENDOCR METAB IMMUNE,1.987
JOURNAL OF FOOD AND DRUG ANALYSIS,J FOOD DRUG ANAL,1.98
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
AAPS PHARMSCITECH,AAPS PHARMSCITECH,1.954
HIV CLINICAL TRIALS,HIV CLIN TRIALS,1.951
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
Drug Delivery and Translational Research,DRUG DELIV TRANSL RE,1.887
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
Dose-Response,DOSE-RESPONSE,1.855
JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,J CLIN PHARM THER,1.833
JOURNAL OF PHARMACOKINETICS AND PHARMACODYNAMICS,J PHARMACOKINET PHAR,1.808
CLINICAL DRUG INVESTIGATION,CLIN DRUG INVEST,1.806
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,CURR PHARM BIOTECHNO,1.802
JOURNAL OF LIPOSOME RESEARCH,J LIPOSOME RES,1.797
OPERATIONS RESEARCH,OPER RES,1.777
Drug Metabolism and Pharmacokinetics,DRUG METAB PHARMACOK,1.764
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS,J OCUL PHARMACOL TH,1.754
CLINICAL NEUROPHARMACOLOGY,CLIN NEUROPHARMACOL,1.748
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
BIOMEDICAL CHROMATOGRAPHY,BIOMED CHROMATOGR,1.729
XENOBIOTICA,XENOBIOTICA,1.723
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,CANCER BIOTHER RADIO,1.715
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,CAN J PHYSIOL PHARM,1.704
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
BIOLOGICALS,BIOLOGICALS,1.69
EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,EUR J DRUG METAB PH,1.68
Journal of Natural Medicines,J NAT MED-TOKYO,1.67
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,ASSAY DRUG DEV TECHN,1.655
DARU-Journal of Pharmaceutical Sciences,DARU,1.654
DRUG AND CHEMICAL TOXICOLOGY,DRUG CHEM TOXICOL,1.653
Expert Review of Pharmacoeconomics & Outcomes Research,EXPERT REV PHARM OUT,1.631
JOURNAL OF MICROENCAPSULATION,J MICROENCAPSUL,1.631
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,IMMUNOPHARM IMMUNOT,1.617
Journal of Pharmaceutical Innovation,J PHARM INNOV,1.603
Chinese Medicine,CHIN MED-UK,1.58
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
European Review for Medical and Pharmacological Sciences,EUR REV MED PHARMACO,1.575
BIOLOGICAL & PHARMACEUTICAL BULLETIN,BIOL PHARM BULL,1.574
PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY,PHARM DEV TECHNOL,1.566
PHARMACEUTICAL BIOLOGY,PHARM BIOL,1.546
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,KOREAN J PHYSIOL PHA,1.544
PHARMACOLOGY,PHARMACOLOGY,1.533
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
Journal of Applied Biomedicine,J APPL BIOMED,1.509
Clinical Psychopharmacology and Neuroscience,CLIN PSYCHOPHARM NEU,1.5
PHARMACOPSYCHIATRY,PHARMACOPSYCHIATRY,1.474
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,INT J IMMUNOPATH PH,1.47
IIE TRANSACTIONS,IIE TRANS,1.463
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
Current Drug Delivery,CURR DRUG DELIV,1.446
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,1.444
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,J INT MED RES,1.431
JOURNAL OF INFECTION AND CHEMOTHERAPY,J INFECT CHEMOTHER,1.425
ANNALS OF OPERATIONS RESEARCH,ANN OPER RES,1.406
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,1.406
OR SPECTRUM,OR SPECTRUM,1.395
Chinese Journal of Natural Medicines,CHIN J NAT MEDICINES,1.382
ENGINEERING OPTIMIZATION,ENG OPTIMIZ,1.38
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1.371
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,INT J MED MUSHROOMS,1.357
Iranian Journal of Pharmaceutical Research,IRAN J PHARM RES,1.352
International Journal of Clinical Pharmacy,INT J CLIN PHARM-NET,1.339
JOURNAL OF CHEMOTHERAPY,J CHEMOTHERAPY,1.333
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
Clinical Pharmacology in Drug Development,CLIN PHARM DRUG DEV,1.312
CLINICAL AND EXPERIMENTAL HYPERTENSION,CLIN EXP HYPERTENS,1.307
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,J AM PHARM ASSOC,1.285
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,J VET PHARMACOL THER,1.279
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,1.268
PHARMAZIE,PHARMAZIE,1.264
International Transactions in Operational Research,INT T OPER RES,1.255
INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,1.246
PHARMACEUTICAL STATISTICS,PHARM STAT,1.235
CHEMICAL & PHARMACEUTICAL BULLETIN,CHEM PHARM BULL,1.228
