nfull,nabb,if
NATURE MATERIALS,NAT MATER,38.891
Nature Photonics,NAT PHOTONICS,31.167
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,24.652
ADVANCED MATERIALS,ADV MATER,18.96
Advanced Energy Materials,ADV ENERGY MATER,15.23
Applied Physics Reviews,APPL PHYS REV,14.31
NANO LETTERS,NANO LETT,13.779
Nano Energy,NANO ENERGY,11.553
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,11.382
Nano Research,NANO RES,8.893
Small,SMALL,8.315
Nanoscale,NANOSCALE,7.76
Laser & Photonics Reviews,LASER PHOTONICS REV,7.486
PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,7.365
MRS BULLETIN,MRS BULL,6.06
ACS Photonics,ACS PHOTONICS,5.404
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,5.111
Journal of Materials Chemistry C,J MATER CHEM C,5.066
SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,4.732
Nanophotonics,NANOPHOTONICS-BERLIN,4.333
APL Materials,APL MATER,4.323
Physical Review Applied,PHYS REV APPL,4.061
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
IEEE Journal of Photovoltaics,IEEE J PHOTOVOLT,3.736
NANOTECHNOLOGY,NANOTECHNOLOGY,3.573
ORGANIC ELECTRONICS,ORG ELECTRON,3.471
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J SEL TOP QUANT,3.466
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
APPLIED SURFACE SCIENCE,APPL SURF SCI,3.15
APPLIED PHYSICS LETTERS,APPL PHYS LETT,3.142
Nano-Micro Letters,NANO-MICRO LETT,3.012
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
Beilstein Journal of Nanotechnology,BEILSTEIN J NANOTECH,2.778
JOURNAL OF PHYSICS D-APPLIED PHYSICS,J PHYS D APPL PHYS,2.772
MANAGEMENT SCIENCE,MANAGE SCI,2.741
SUPERCONDUCTOR SCIENCE & TECHNOLOGY,SUPERCOND SCI TECH,2.717
Plasma Processes and Polymers,PLASMA PROCESS POLYM,2.713
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Nanoscale Research Letters,NANOSCALE RES LETT,2.584
Physica Status Solidi-Rapid Research Letters,PHYS STATUS SOLIDI-R,2.578
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
METROLOGIA,METROLOGIA,2.5
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
MATERIALS LETTERS,MATER LETT,2.437
LASER PHYSICS LETTERS,LASER PHYS LETT,2.391
Nanoscale and Microscale Thermophysical Engineering,NANOSC MICROSC THERM,2.39
IEEE Transactions on Terahertz Science and Technology,IEEE T THZ SCI TECHN,2.298
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
Applied Physics Express,APPL PHYS EXPRESS,2.265
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,MAT SCI SEMICON PROC,2.264
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
IEEE TRANSACTIONS ON ELECTRON DEVICES,IEEE T ELECTRON DEV,2.207
IEEE Photonics Journal,IEEE PHOTONICS J,2.177
SAFETY SCIENCE,SAFETY SCI,2.157
CURRENT APPLIED PHYSICS,CURR APPL PHYS,2.144
SURFACE & COATINGS TECHNOLOGY,SURF COAT TECH,2.139
IEEE Systems Journal,IEEE SYST J,2.114
JOURNAL OF APPLIED PHYSICS,J APPL PHYS,2.101
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
Nanotechnology Reviews,NANOTECHNOL REV,2.044
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
IEEE Magnetics Letters,IEEE MAGN LETT,1.978
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,1.945
Journal of Display Technology,J DISP TECHNOL,1.925
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
IEEE SENSORS JOURNAL,IEEE SENS J,1.889
OPTICS AND LASER TECHNOLOGY,OPT LASER TECHNOL,1.879
JOURNAL OF SYNCHROTRON RADIATION,J SYNCHROTRON RADIAT,1.877
MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,MODEL SIMUL MATER SC,1.859
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
Journal of Infrared Millimeter and Terahertz Waves,J INFRARED MILLIM TE,1.851
IEEE JOURNAL OF QUANTUM ELECTRONICS,IEEE J QUANTUM ELECT,1.843
Science of Advanced Materials,SCI ADV MATER,1.812
PLASMA CHEMISTRY AND PLASMA PROCESSING,PLASMA CHEM PLASMA P,1.811
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,J MATER SCI-MATER EL,1.798
APPLIED PHYSICS B-LASERS AND OPTICS,APPL PHYS B-LASERS O,1.785
OPERATIONS RESEARCH,OPER RES,1.777
THIN SOLID FILMS,THIN SOLID FILMS,1.761
GRANULAR MATTER,GRANUL MATTER,1.74
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
Applied Sciences-Basel,APPL SCI-BASEL,1.726
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,J VAC SCI TECHNOL A,1.724
IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE T NANOTECHNOL,1.702
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
Journal of Computational and Theoretical Nanoscience,J COMPUT THEOR NANOS,1.666
ECS Journal of Solid State Science and Technology,ECS J SOLID STATE SC,1.65
LASER AND PARTICLE BEAMS,LASER PART BEAMS,1.649
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,PHYS STATUS SOLIDI A,1.648
PHILOSOPHICAL MAGAZINE,PHILOS MAG,1.632
EUROPEAN PHYSICAL JOURNAL E,EUR PHYS J E,1.625
OPTO-ELECTRONICS REVIEW,OPTO-ELECTRON REV,1.611
INFRARED PHYSICS & TECHNOLOGY,INFRARED PHYS TECHN,1.588
Advances in Natural Sciences-Nanoscience and Nanotechnology,ADV NAT SCI-NANOSCI,1.581
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
Recent Patents on Nanotechnology,RECENT PAT NANOTECH,1.576
VACUUM,VACUUM,1.558
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
Journal of Photonics for Energy,J PHOTON ENERGY,1.527
Photonics and Nanostructures-Fundamentals and Applications,PHOTONIC NANOSTRUCT,1.505
JOURNAL OF ELECTRONIC MATERIALS,J ELECTRON MATER,1.491
IIE TRANSACTIONS,IIE TRANS,1.463
JOURNAL OF CRYSTAL GROWTH,J CRYST GROWTH,1.462
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
AIP Advances,AIP ADV,1.444
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,APPL PHYS A-MATER,1.444
