nfull,nabb,if
Journal of Physical Chemistry Letters,J PHYS CHEM LETT,8.539
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,PROG NUCL MAG RES SP,7.231
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,INT REV PHYS CHEM,6.094
Advances In Atomic Molecular and Optical Physics,ADV ATOM MOL OPT PHY,5.417
Journal of Chemical Theory and Computation,J CHEM THEORY COMPUT,5.301
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,PHYS CHEM CHEM PHYS,4.449
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
Structural Dynamics,STRUCT DYNAM-US,3.667
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
CHEMPHYSCHEM,CHEMPHYSCHEM,3.138
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
JOURNAL OF CHEMICAL PHYSICS,J CHEM PHYS,2.894
JOURNAL OF MAGNETIC RESONANCE,J MAGN RESON,2.889
JOURNAL OF PHYSICAL CHEMISTRY A,J PHYS CHEM A,2.883
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
PHYSICAL REVIEW A,PHYS REV A,2.765
MANAGEMENT SCIENCE,MANAGE SCI,2.741
JOURNAL OF MOLECULAR LIQUIDS,J MOL LIQ,2.74
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
ATOMIC DATA AND NUCLEAR DATA TABLES,ATOM DATA NUCL DATA,2.576
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
Advances in Chemical Physics,ADV CHEM PHYS,2.304
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,2.25
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,INT J QUANTUM CHEM,2.184
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,INT J MASS SPECTROM,2.183
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
CHEMICAL PHYSICS LETTERS,CHEM PHYS LETT,1.86
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
MOLECULAR PHYSICS,MOL PHYS,1.837
JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,J PHYS B-AT MOL OPT,1.833
OPERATIONS RESEARCH,OPER RES,1.777
CHEMICAL PHYSICS,CHEM PHYS,1.758
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
MOLECULAR SIMULATION,MOL SIMULAT,1.678
JOURNAL OF MOLECULAR SPECTROSCOPY,J MOL SPECTROSC,1.593
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
