nfull,nabb,if
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,3.635
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,2.834
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,2.556
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
Advances in Theoretical and Mathematical Physics,ADV THEOR MATH PHYS,2.385
COMMUNICATIONS IN MATHEMATICAL PHYSICS,COMMUN MATH PHYS,2.375
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
PHYSICAL REVIEW E,PHYS REV E,2.252
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,APPL COMPUT HARMON A,2.094
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,J STAT MECH-THEORY E,2.091
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,2.068
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
CHAOS,CHAOS,2.049
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
Journal of Physics A-Mathematical and Theoretical,J PHYS A-MATH THEOR,1.933
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
Quantum Information Processing,QUANTUM INF PROCESS,1.84
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,SIAM J APPL DYN SYST,1.819
Communications in Computational Physics,COMMUN COMPUT PHYS,1.778
OPERATIONS RESEARCH,OPER RES,1.777
ANNALES HENRI POINCARE,ANN HENRI POINCARE,1.76
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
INVERSE PROBLEMS,INVERSE PROBL,1.651
