nfull,nabb,if
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,33.177
Nature Physics,NAT PHYS,18.791
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,16.24
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,12.933
Physical Review X,PHYS REV X,8.701
PHYSICAL REVIEW LETTERS,PHYS REV LETT,7.645
CONTEMPORARY PHYSICS,CONTEMP PHYS,5
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,FORTSCHR PHYS,3.991
Soft Matter,SOFT MATTER,3.798
NEW JOURNAL OF PHYSICS,NEW J PHYS,3.57
ANNALEN DER PHYSIK,ANN PHYS-BERLIN,3.443
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,J PHYS CHEM REF DATA,3.29
PHYSICS TODAY,PHYS TODAY,3.234
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,2.837
Frontiers of Physics,FRONT PHYS-BEIJING,2.462
ANNALS OF PHYSICS,ANN PHYS-NEW YORK,2.375
PHYSICS-USPEKHI,PHYS-USP+,2.126
COMPTES RENDUS PHYSIQUE,CR PHYS,2.081
EPL,EPL-EUROPHYS LETT,1.963
Journal of Physics A-Mathematical and Theoretical,J PHYS A-MATH THEOR,1.933
Progress of Theoretical and Experimental Physics,PROG THEOR EXP PHYS,1.889
Quantum Information Processing,QUANTUM INF PROCESS,1.84
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,PHYSICA A,1.785
ANNALES HENRI POINCARE,ANN HENRI POINCARE,1.76
Entropy,ENTROPY-SWITZ,1.743
PHYSICS LETTERS A,PHYS LETT A,1.677
GENERAL RELATIVITY AND GRAVITATION,GEN RELAT GRAVIT,1.668
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,1.611
PHYSICA D-NONLINEAR PHENOMENA,PHYSICA D,1.579
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,1.575
JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,J PHYS SOC JPN,1.559
European Physical Journal Plus,EUR PHYS J PLUS,1.521
WAVE MOTION,WAVE MOTION,1.449
Chinese Physics B,CHINESE PHYS B,1.436
European Physical Journal-Special Topics,EUR PHYS J-SPEC TOP,1.417
Romanian Journal of Physics,ROM J PHYS,1.398
Romanian Reports in Physics,ROM REP PHYS,1.367
Results in Physics,RESULTS PHYS,1.337
RIVISTA DEL NUOVO CIMENTO,RIV NUOVO CIMENTO,1.25
PHYSICA SCRIPTA,PHYS SCRIPTA,1.194
JETP LETTERS,JETP LETT+,1.172
INDIAN JOURNAL OF PHYSICS,INDIAN J PHYS,1.166
Waves in Random and Complex Media,WAVE RANDOM COMPLEX,1.061
BRAZILIAN JOURNAL OF PHYSICS,BRAZ J PHYS,1.042
INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,INT J THEOR PHYS,1.041
FOUNDATIONS OF PHYSICS,FOUND PHYS,1.018
HIGH PRESSURE RESEARCH,HIGH PRESSURE RES,1.014
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,1.012
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,J EXP THEOR PHYS+,0.953
CENTRAL EUROPEAN JOURNAL OF PHYSICS,CENT EUR J PHYS,0.948
COMMUNICATIONS IN THEORETICAL PHYSICS,COMMUN THEOR PHYS,0.948
European Physical Journal H,EUR PHYS J H,0.918
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,Z NATURFORSCH A,0.886
CHINESE PHYSICS LETTERS,CHINESE PHYS LETT,0.875
THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,0.831
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,0.795
INDIAN JOURNAL OF PURE & APPLIED PHYSICS,INDIAN J PURE AP PHY,0.739
CANADIAN JOURNAL OF PHYSICS,CAN J PHYS,0.724
PRAMANA-JOURNAL OF PHYSICS,PRAMANA-J PHYS,0.692
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,0.677
Russian Physics Journal,RUSS PHYS J+,0.667
STUDIES IN HISTORY AND PHILOSOPHY OF MODERN PHYSICS,STUD HIST PHILOS M P,0.626
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0.608
Lithuanian Journal of Physics,LITH J PHYS,0.574
FEW-BODY SYSTEMS,FEW-BODY SYST,0.558
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,0.525
DOKLADY PHYSICS,DOKL PHYS,0.513
ACTA PHYSICA SLOVACA,ACTA PHYS SLOVACA,0.5
PHYSICS TEACHER,PHYS TEACH,0.5
Physics of Wave Phenomena,PHYS WAVE PHENOM,0.5
CHINESE JOURNAL OF PHYSICS,CHINESE J PHYS,0.464
JOURNAL OF THE KOREAN PHYSICAL SOCIETY,J KOREAN PHYS SOC,0.445
REVISTA MEXICANA DE FISICA,REV MEX FIS,0.406
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,U POLITEH BUCH SER A,0.365
Bulletin of the Lebedev Physics Institute,B LEBEDEV PHYS INST+,0.326
Journal of Contemporary Physics-Armenian Academy of Sciences,J CONTEMP PHYS-ARME+,0.293
Moscow University Physics Bulletin,MOSC U PHYS B+,0.281
PHYSICS WORLD,PHYS WORLD,0.228
Open Physics,OPEN PHYS,Not Available
