nfull,nabb,if
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,9.472
Annual Review of Nuclear and Particle Science,ANNU REV NUCL PART S,7.5
ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,4.801
PHYSICS LETTERS B,PHYS LETT B,4.787
NUCLEAR FUSION,NUCL FUSION,4.04
Chinese Physics C,CHINESE PHYS C,3.761
PHYSICAL REVIEW C,PHYS REV C,3.146
ATOMIC DATA AND NUCLEAR DATA TABLES,ATOM DATA NUCL DATA,2.576
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,J PHYS G NUCL PARTIC,2.448
PLASMA PHYSICS AND CONTROLLED FUSION,PLASMA PHYS CONTR F,2.404
EUROPEAN PHYSICAL JOURNAL A,EUR PHYS J A,2.373
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,1.799
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS,PHYS REV SPEC TOP-AC,1.5
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,NUCL INSTRUM METH B,1.389
NUCLEAR PHYSICS A,NUCL PHYS A,1.258
INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS,INT J MOD PHYS E,1.229
MODERN PHYSICS LETTERS A,MOD PHYS LETT A,1.116
NUCLEAR DATA SHEETS,NUCL DATA SHEETS,0.811
Nuclear Science and Techniques,NUCL SCI TECH,0.641
NUKLEONIKA,NUKLEONIKA,0.546
PHYSICS OF ATOMIC NUCLEI,PHYS ATOM NUCL+,0.457
