nfull,nabb,if
Living Reviews in Relativity,LIVING REV RELATIV,32
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,9.472
Annual Review of Nuclear and Particle Science,ANNU REV NUCL PART S,7.5
JOURNAL OF HIGH ENERGY PHYSICS,J HIGH ENERGY PHYS,6.023
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,J COSMOL ASTROPART P,5.634
EUROPEAN PHYSICAL JOURNAL C,EUR PHYS J C,4.912
PHYSICS LETTERS B,PHYS LETT B,4.787
PHYSICAL REVIEW D,PHYS REV D,4.506
Chinese Physics C,CHINESE PHYS C,3.761
NUCLEAR PHYSICS B,NUCL PHYS B,3.735
ASTROPARTICLE PHYSICS,ASTROPART PHYS,3.425
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,2.837
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,J PHYS G NUCL PARTIC,2.448
Advances in Theoretical and Mathematical Physics,ADV THEOR MATH PHYS,2.385
EUROPEAN PHYSICAL JOURNAL A,EUR PHYS J A,2.373
Progress of Theoretical and Experimental Physics,PROG THEOR EXP PHYS,1.889
Advances in High Energy Physics,ADV HIGH ENERGY PHYS,1.839
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,1.799
ANNALES HENRI POINCARE,ANN HENRI POINCARE,1.76
GENERAL RELATIVITY AND GRAVITATION,GEN RELAT GRAVIT,1.668
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS,PHYS REV SPEC TOP-AC,1.5
QUANTUM INFORMATION & COMPUTATION,QUANTUM INF COMPUT,1.328
INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS,INT J MOD PHYS E,1.229
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,NUCL INSTRUM METH A,1.2
MODERN PHYSICS LETTERS A,MOD PHYS LETT A,1.116
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,INT J QUANTUM INF,0.701
PHYSICS OF PARTICLES AND NUCLEI,PHYS PART NUCLEI+,0.519
PHYSICS OF ATOMIC NUCLEI,PHYS ATOM NUCL+,0.457
