nfull,nabb,if
PHYSIOLOGICAL REVIEWS,PHYSIOL REV,30.924
Annual Review of Physiology,ANNU REV PHYSIOL,15.754
JOURNAL OF PINEAL RESEARCH,J PINEAL RES,9.314
PHYSIOLOGY,PHYSIOLOGY,6.541
Comprehensive Physiology,COMPR PHYSIOL,6.364
Reviews of Physiology Biochemistry and Pharmacology,REV PHYSIOL BIOCH P,5.333
JOURNAL OF PHYSIOLOGY-LONDON,J PHYSIOL-LONDON,4.731
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AM J PHYSIOL-LUNG C,4.721
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,CELL PHYSIOL BIOCHEM,4.652
JOURNAL OF GENERAL PHYSIOLOGY,J GEN PHYSIOL,4.511
EXERCISE AND SPORT SCIENCES REVIEWS,EXERC SPORT SCI REV,4.451
JOURNAL OF CELLULAR PHYSIOLOGY,J CELL PHYSIOL,4.155
Acta Physiologica,ACTA PHYSIOL,4.066
Frontiers in Physiology,FRONT PHYSIOL,4.031
International Journal of Behavioral Nutrition and Physical Activity,INT J BEHAV NUTR PHY,3.993
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AM J PHYSIOL-ENDOC M,3.825
PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,PFLUG ARCH EUR J PHY,3.654
CHRONOBIOLOGY INTERNATIONAL,CHRONOBIOL INT,3.54
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,AM J PHYSIOL-CELL PH,3.395
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,AM J PHYSIOL-RENAL,3.39
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,AM J PHYSIOL-HEART C,3.324
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,AM J PHYSIOL-GASTR L,3.297
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,AM J PHYSIOL-REG I,3.168
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,J MAMMARY GLAND BIOL,3.143
PSYCHOPHYSIOLOGY,PSYCHOPHYSIOLOGY,3.074
International Journal of Sports Physiology and Performance,INT J SPORT PHYSIOL,3.042
