nfull,nabb,if
Annual Review of Plant Biology,ANNU REV PLANT BIOL,22.131
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,10.899
Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,9.308
PLANT CELL,PLANT CELL,8.538
NEW PHYTOLOGIST,NEW PHYTOL,7.21
Molecular Plant,MOL PLANT,7.142
CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,6.78
PLANT PHYSIOLOGY,PLANT PHYSIOL,6.28
JOURNAL OF ECOLOGY,J ECOL,6.18
PLANT CELL AND ENVIRONMENT,PLANT CELL ENVIRON,6.169
PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,6.09
JOURNAL OF EXPERIMENTAL BOTANY,J EXP BOT,5.677
PLANT JOURNAL,PLANT J,5.468
CRITICAL REVIEWS IN PLANT SCIENCES,CRIT REV PLANT SCI,4.81
Frontiers in Plant Science,FRONT PLANT SCI,4.495
MOLECULAR PLANT PATHOLOGY,MOL PLANT PATHOL,4.335
PLANT AND CELL PHYSIOLOGY,PLANT CELL PHYSIOL,4.319
MOLECULAR PLANT-MICROBE INTERACTIONS,MOL PLANT MICROBE IN,4.145
PHOTOSYNTHESIS RESEARCH,PHOTOSYNTH RES,4.122
ANNALS OF BOTANY,ANN BOT-LONDON,3.982
PLANT MOLECULAR BIOLOGY,PLANT MOL BIOL,3.905
THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,3.9
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,ENVIRON EXP BOT,3.712
Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,3.67
JOURNAL OF NATURAL PRODUCTS,J NAT PROD,3.662
BMC PLANT BIOLOGY,BMC PLANT BIOL,3.631
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,3.578
PHYSIOLOGIA PLANTARUM,PHYSIOL PLANTARUM,3.52
Plant Genome,PLANT GENOME-US,3.509
Plant Methods,PLANT METHODS,3.449
PLANT SCIENCE,PLANT SCI,3.362
PLANTA,PLANTA,3.239
PLANT DISEASE,PLANT DIS,3.192
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,3.151
PLANT CELL REPORTS,PLANT CELL REP,3.088
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,3.055
PHYTOPATHOLOGY,PHYTOPATHOLOGY,3.011
JOURNAL OF PLANT PHYSIOLOGY,J PLANT PHYSIOL,2.971
PLANT AND SOIL,PLANT SOIL,2.969
PHYTOMEDICINE,PHYTOMEDICINE,2.937
PLANT PHYSIOLOGY AND BIOCHEMISTRY,PLANT PHYSIOL BIOCH,2.928
TAXON,TAXON,2.907
AMERICAN JOURNAL OF BOTANY,AM J BOT,2.811
PHYTOCHEMISTRY,PHYTOCHEMISTRY,2.779
PRESLIA,PRESLIA,2.711
PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,2.686
JOURNAL OF PHYCOLOGY,J PHYCOL,2.536
