nfull,nabb,if,,
American Journal Of Political Science,Am J Polit Sci,4.515,,
Political Analysis,Polit Anal,3.491,,
Annual Review Of Political Science,Annu Rev Polit Sci,3.457,,
American Political Science Review,Am Polit Sci Rev,3.444,,
Governance-An International Journal Of Policy Administration And Institutions,Governance,3.424,,
British Journal Of Political Science,Brit J Polit Sci,3.12,,
Political Geography,Polit Geogr,2.733,,
Regulation & Governance,Regul Gov,2.724,,
European Journal Of Political Research,Eur J Polit Res,2.525,,
Perspectives On Politics,Perspect Polit,2.462,,
Review Of International Organizations,Rev Int Organ,2.444,,
Review Of International Political Economy,Rev Int Polit Econ,2.414,,
Global Environmental Politics,Global Environ Polit,2.316,,
Comparative Political Studies,Comp Polit Stud,2.214,,
Environmental Politics,Environ Polit,2.164,,
Journal Of Peace Research,J Peace Res,2.153,,
Political Psychology,Polit Psychol,2.089,,
International Journal Of Press-Politics,Int J Press/Polit,1.979,,
Journal Of European Public Policy,J Eur Public Policy,1.964,,
International Studies Quarterly,Int Stud Quart,1.943,,
Socio-Economic Review,Socio-Econ Rev,1.926,,
Public Administration,Public Admin,1.922,,
African Affairs,Afr Affairs,1.904,,
Journal Of Politics,J Polit,1.84,,
Jcms-Journal Of Common Market Studies,Jcms-J Common Mark S,1.83,,
Policy Studies Journal,Policy Stud J,1.765,,
European Union Politics,Eur Union Polit,1.754,,
Political Behavior,Polit Behav,1.747,,
Annals Of The American Academy Of Political And Social Science,Ann Am Acad Polit Ss,1.708,,
Journal Of Conflict Resolution,J Conflict Resolut,1.687,,
New Political Economy,New Polit Econ,1.671,,
Philosophy & Public Affairs,Philos Public Aff,1.652,,
Quarterly Journal Of Political Science,Q J Polit Sci,1.645,,
Political Communication,Polit Commun,1.508,,
Politics,Politics-Oxford,1.5,,
West European Politics,West Eur Polit,1.464,,
Politics & Society,Polit Soc,1.429,,
Public Opinion Quarterly,Public Opin Quart,1.429,,
Journal Of Democracy,J Democr,1.425,,
British Journal Of Politics & International Relations,Brit J Polit Int Rel,1.423,,
Electoral Studies,Elect Stud,1.404,,
Democratization,Democratization,1.296,,
International Environmental Agreements-Politics Law And Economics,Int Environ Agreem-P,1.289,,
International Political Sociology,Int Polit Sociol,1.284,,
International Studies Review,Int Stud Rev,1.283,,
Party Politics,Party Polit,1.271,,
Comparative European Politics,Comp Eur Polit,1.261,,
Swiss Political Science Review,Swiss Polit Sci Rev,1.258,,
International Journal Of Transitional Justice,Int J Transit Just,1.25,,
European Journal Of Political Economy,Eur J Polit Econ,1.248,,
South European Society And Politics,S Eur Soc Polit,1.241,,
New Left Review,New Left Rev,1.222,,
Policy And Politics,Policy Polit,1.2,,
European Political Science Review,Eur Polit Sci Rev,1.188,,
Geopolitics,Geopolitics,1.179,,
Review Of Policy Research,Rev Policy Res,1.167,,
Political Studies,Polit Stud-London,1.156,,
Journal Of European Integration,J Eur Integr,1.132,,
Political Research Quarterly,Polit Res Quart,1.116,,
Comparative Politics,Comp Polit,1.104,,
Publius-The Journal Of Federalism,Publius J Federalism,1.05,,
Post-Soviet Affairs,Post-Sov Aff,1.049,,
Journal Of Political Philosophy,J Polit Philos,1.044,,
Politics & Gender,Polit Gender,1.024,,
Cooperation And Conflict,Coop Confl,1,,
Journal Of Public Policy,J Public Policy,1,,
