nfull,nabb,if
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,27.184
Polymer Reviews,POLYM REV,6.216
ACS Macro Letters,ACS MACRO LETT,5.766
Polymer Chemistry,POLYM CHEM-UK,5.687
BIOMACROMOLECULES,BIOMACROMOLECULES,5.583
JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,5.557
MACROMOLECULES,MACROMOLECULES,5.554
MACROMOLECULAR RAPID COMMUNICATIONS,MACROMOL RAPID COMM,4.638
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,4.219
Soft Matter,SOFT MATTER,3.798
MACROMOLECULAR BIOSCIENCE,MACROMOL BIOSCI,3.68
POLYMER,POLYMER,3.586
EUROPEAN POLYMER JOURNAL,EUR POLYM J,3.485
JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,J POLYM SCI POL PHYS,3.318
CELLULOSE,CELLULOSE,3.195
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,INT J BIOL MACROMOL,3.138
POLYMER DEGRADATION AND STABILITY,POLYM DEGRAD STABIL,3.12
JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY,J POLYM SCI POL CHEM,3.114
Express Polymer Letters,EXPRESS POLYM LETT,2.965
Polymers,POLYMERS-BASEL,2.944
MACROMOLECULAR MATERIALS AND ENGINEERING,MACROMOL MATER ENG,2.834
REACTIVE & FUNCTIONAL POLYMERS,REACT FUNCT POLYM,2.725
Plasma Processes and Polymers,PLASMA PROCESS POLYM,2.713
MACROMOLECULAR CHEMISTRY AND PHYSICS,MACROMOL CHEM PHYS,2.495
POLYMER INTERNATIONAL,POLYM INT,2.414
POLYMER TESTING,POLYM TEST,2.35
SYNTHETIC METALS,SYNTHETIC MET,2.299
MACROMOLECULAR THEORY AND SIMULATIONS,MACROMOL THEOR SIMUL,2.294
JOURNAL OF CELLULAR PLASTICS,J CELL PLAST,2.057
POLYMER COMPOSITES,POLYM COMPOSITE,2.004
JOURNAL OF POLYMER RESEARCH,J POLYM RES,1.969
JOURNAL OF POLYMERS AND THE ENVIRONMENT,J POLYM ENVIRON,1.969
