nfull,nabb,if,,
World Psychiatry,World Psychiatry,20.205,,
Jama Psychiatry,Jama Psychiat,14.417,,
American Journal Of Psychiatry,Am J Psychiat,13.505,,
Schizophrenia Bulletin,Schizophrenia Bull,7.757,,
Psychotherapy And Psychosomatics,Psychother Psychosom,7.632,,
Journal Of The American Academy Of Child And Adolescent Psychiatry,J Am Acad Child Psy,7.182,,
British Journal Of Psychiatry,Brit J Psychiat,7.06,,
Journal Of Child Psychology And Psychiatry,J Child Psychol Psyc,6.615,,
Acta Psychiatrica Scandinavica,Acta Psychiat Scand,6.128,,
Lancet Psychiatry,Lancet Psychiat,5.756,,
Journal Of Psychiatry & Neuroscience,J Psychiatr Neurosci,5.57,,
Psychological Medicine,Psychol Med,5.491,,
Journal Of Clinical Psychiatry,J Clin Psychiat,5.408,,
Depression And Anxiety,Depress Anxiety,5.004,,
Addiction,Addiction,4.972,,
Journal Of Psychiatric Research,J Psychiatr Res,4.465,,
Schizophrenia Research,Schizophr Res,4.453,,
International Journal Of Eating Disorders,Int J Eat Disorder,4.068,,
European Psychiatry,Eur Psychiat,3.912,,
Current Opinion In Psychiatry,Curr Opin Psychiatr,3.789,,
Psychosomatic Medicine,Psychosom Med,3.638,,
Journal Of Affective Disorders,J Affect Disorders,3.57,,
Australian And New Zealand Journal Of Psychiatry,Aust Nz J Psychiat,3.536,,
Journal Of Personality Disorders,J Pers Disord,3.515,,
Journal Of Attention Disorders,J Atten Disord,3.384,,
Drug And Alcohol Dependence,Drug Alcohol Depen,3.349,,
European Child & Adolescent Psychiatry,Eur Child Adoles Psy,3.339,,
Psychiatry-Interpersonal And Biological Processes,Psychiatry,3.318,,
Mindfulness,Mindfulness,3.317,,
American Journal Of Geriatric Psychiatry,Am J Geriat Psychiat,3.13,,
Canadian Journal Of Psychiatry-Revue Canadienne De Psychiatrie,Can J Psychiat,2.952,,
Early Intervention In Psychiatry,Early Interv Psychia,2.889,,
Current Psychiatry Reports,Curr Psychiat Rep,2.858,,
International Journal Of Methods In Psychiatric Research,Int J Meth Psych Res,2.857,,
Epidemiology And Psychiatric Sciences,Epidemiol Psych Sci,2.847,,
Journal Of Psychosomatic Research,J Psychosom Res,2.84,,
Suicide And Life-Threatening Behavior,Suicide Life-Threat,2.726,,
International Journal Of Geriatric Psychiatry,Int J Geriatr Psych,2.699,,
Journal Of Traumatic Stress,J Trauma Stress,2.624,,
Social Psychiatry And Psychiatric Epidemiology,Soc Psych Psych Epid,2.513,,
Journal Of Behavioral Addictions,J Behav Addict,2.492,,
Psychiatry Research,Psychiat Res,2.466,,
General Hospital Psychiatry,Gen Hosp Psychiat,2.381,,
Journal Of Anxiety Disorders,J Anxiety Disord,2.381,,
European Addiction Research,Eur Addict Res,2.367,,
Harvard Review Of Psychiatry,Harvard Rev Psychiat,2.328,,
European Journal Of Psychotraumatology,Eur J Psychotraumato,2.325,,
International Review Of Psychiatry,Int Rev Psychiatr,2.275,,
Journal Of Behavior Therapy And Experimental Psychiatry,J Behav Ther Exp Psy,2.193,,
Revista Brasileira De Psiquiatria,Rev Bras Psiquiatr,2.181,,
Psychiatric Clinics Of North America,Psychiat Clin N Am,2.165,,
Child And Adolescent Psychiatry And Mental Health,Child Adol Psych Men,2.134,,
Body Image,Body Image,2.104,,
Comprehensive Psychiatry,Compr Psychiat,2.043,,
Eating Behaviors,Eat Behav,1.962,,
International Journal Of Mental Health Nursing,Int J Ment Health Nu,1.943,,
Stress And Health,Stress Health,1.926,,
Cognitive Neuropsychiatry,Cogn Neuropsychiatry,1.924,,
Psychosomatics,Psychosomatics,1.906,,
Psychopathology,Psychopathology,1.888,,
Psychiatria Danubina,Psychiat Danub,1.879,,
Aging & Mental Health,Aging Ment Health,1.861,,
