nfull,nabb,if,,
Journal Of Management,J Manage,6.051,,
Organizational Research Methods,Organ Res Methods,4.727,,
Annual Review Of Organizational Psychology And Organizational Behavior,Annu Rev Organ Psych,4.478,,
Personnel Psychology,Pers Psychol,4.057,,
Journal Of Applied Psychology,J Appl Psychol,3.81,,
International Review Of Sport And Exercise Psychology,Int Rev Sport Exer P,3.682,,
Journal Of Counseling Psychology,J Couns Psychol,3.149,,
Journal Of Organizational Behavior,J Organ Behav,2.986,,
Leadership Quarterly,Leadership Quart,2.938,,
Applied Psychology-Health And Well Being,Appl Psychol-Hlth We,2.917,,
Organizational Behavior And Human Decision Processes,Organ Behav Hum Dec,2.805,,
Journal Of Behavioral Decision Making,J Behav Decis Making,2.768,,
Journal Of Vocational Behavior,J Vocat Behav,2.764,,
Psychology Of Sport And Exercise,Psychol Sport Exerc,2.605,,
Work And Stress,Work Stress,2.467,,
Journal Of Sport & Exercise Psychology,J Sport Exercise Psy,2.379,,
Journal Of Experimental Psychology-Applied,J Exp Psychol-Appl,2.355,,
Journal Of Business And Psychology,J Bus Psychol,2.25,,
European Journal Of Work And Organizational Psychology,Eur J Work Organ Psy,2.208,,
Organizational Psychology Review,Organ Psychol Rev,2.069,,
Journal Of Occupational And Organizational Psychology,J Occup Organ Psych,2.059,,
Psychology Of Music,Psychol Music,2.01,,
Journal Of Consumer Psychology,J Consum Psychol,2.009,,
Journal Of Occupational Health Psychology,J Occup Health Psych,2,,
European Journal Of Psychological Assessment,Eur J Psychol Assess,1.969,,
Stress And Health,Stress Health,1.926,,
Group & Organization Management,Group Organ Manage,1.904,,
Research In Organizational Behavior,Res Organ Behav,1.889,,
Human Resource Management,Hum Resour Manage-Us,1.798,,
Sport Exercise And Performance Psychology,Sport Exerc Perform,1.756,,
Applied Ergonomics,Appl Ergon,1.713,,
Research Quarterly For Exercise And Sport,Res Q Exercise Sport,1.702,,
Journal Of Interpersonal Violence,J Interpers Violence,1.579,,
Journal Of Educational Measurement,J Educ Meas,1.528,,
Ergonomics,Ergonomics,1.449,,
Transportation Research Part F-Traffic Psychology And Behaviour,Transport Res F-Traf,1.444,,
International Journal Of Stress Management,Int J Stress Manage,1.389,,
Human Factors,Hum Factors,1.37,,
Journal Of Applied Sport Psychology,J Appl Sport Psychol,1.369,,
Psychology & Marketing,Psychol Market,1.367,,
Journal Of Career Assessment,J Career Assessment,1.364,,
Journal Of Applied Behavioral Science,J Appl Behav Sci,1.342,,
Media Psychology,Media Psychol,1.333,,
Applied Psychology-An International Review-Psychologie Appliquee-Revue Internationale,Appl Psychol-Int Rev,1.179,,
Counseling Psychologist,Couns Psychol,1.167,,
Journal Of Managerial Psychology,J Manage Psychol,1.136,,
Human Resource Development Quarterly,Hum Resour Dev Q,1.135,,
Sport Psychologist,Sport Psychol,1.104,,
Small Group Research,Small Gr Res,1.078,,
Behavioral Sciences & The Law,Behav Sci Law,1.055,,
Career Development International,Career Dev Int,1.054,,
Journal Of Career Development,J Career Dev,1.036,,
International Journal Of Offender Therapy And Comparative Criminology,Int J Offender Ther,1.006,,
Human Performance,Hum Perform,0.977,,
Journal Of Personnel Psychology,J Pers Psychol,0.925,,
Measurement And Evaluation In Counseling And Development,Meas Eval Couns Dev,0.902,,
Career Development Quarterly,Career Dev Q,0.873,,
International Journal For Educational And Vocational Guidance,Int J Educ Vocat Gui,0.839,,
Personnel Review,Pers Rev,0.704,,
European Review Of Applied Psychology-Revue Europeenne De Psychologie Appliquee,Eur Rev Appl Psychol,0.662,,
Journal Of Investigative Psychology And Offender Profiling,J Invest Psychol Off,0.625,,
International Journal Of Selection And Assessment,Int J Select Assess,0.61,,
Journal Of Organizational Behavior Management,J Organ Behav Manage,0.605,,
Journal Of Counseling And Development,J Couns Dev,0.588,,
Revista De Psicologia Del Deporte,Rev Psicol Deporte,0.56,,
Negotiation And Conflict Management Research,Negot Confl Manag R,0.543,,
Organizational Dynamics,Organ Dyn,0.522,,
International Journal Of Sports Science & Coaching,Int J Sports Sci Coa,0.519,,
Journal Of College Student Development,J Coll Student Dev,0.5,,
British Journal Of Guidance & Counselling,Brit J Guid Couns,0.469,,
Zeitschrift Fur Personalforschung,Z Personalforsch,0.414,,
International Journal Of Aviation Psychology,Int J Aviat Psychol,0.405,,
Journal Of Employment Counseling,J Employment Couns,0.379,,
Industrial And Organizational Psychology-Perspectives On Science And Practice,Ind Organ Psychol-Us,0.376,,
Gedrag & Organisatie,Gedrag Organ,0.366,,
Zeitschrift Fur Sportpsychologie,Z Sportpsychol,0.346,,
Journal Of Multicultural Counseling And Development,J Multicult Couns D,0.303,,
Travail Humain,Trav Humain,0.3,,
Zeitschrift Fur Arbeits-Und Organisationspsychologie,Z Arb Organ,0.286,,
,,,,
,,,,
