nfull,nabb,if
Behavioral And Brain Sciences,Behav Brain Sci,20.415
Biological Psychology,Biol Psychol,3.234
Evolution And Human Behavior,Evol Hum Behav,3.223
Psychophysiology,Psychophysiology,3.074
International Journal Of Psychophysiology,Int J Psychophysiol,2.596
Physiology & Behavior,Physiol Behav,2.461
Journal Of The Experimental Analysis Of Behavior,J Exp Anal Behav,2.171
Experimental And Clinical Psychopharmacology,Exp Clin Psychopharm,2.139
Journal Of Experimental Psychology-Animal Learning And Cognition,J Exp Psychol-Anim L,1.779
Behavioural Processes,Behav Process,1.318
Learning & Behavior,Learn Behav,1.254
Journal Of Psychophysiology,J Psychophysiol,1.167
Learning And Motivation,Learn Motiv,1.146
Integrative Psychological And Behavioral Science,Integr Psychol Behav,1.088
