nfull,nabb,if,,
Annual Review Of Clinical Psychology,Annu Rev Clin Psycho,12.214,,
Health Psychology Review,Health Psychol Rev,8.976,,
Clinical Psychology Review,Clin Psychol Rev,8.146,,
Neuropsychology Review,Neuropsychol Rev,6.061,,
Journal Of Abnormal Psychology,J Abnorm Psychol,5.538,,
Psychological Medicine,Psychol Med,5.491,,
Journal Of Clinical Psychiatry,J Clin Psychiat,5.408,,
Depression And Anxiety,Depress Anxiety,5.004,,
Journal Of Consulting And Clinical Psychology,J Consult Clin Psych,4.713,,
International Journal Of Eating Disorders,Int J Eat Disorder,4.068,,
Journal Of Clinical Child And Adolescent Psychology,J Clin Child Adolesc,4.027,,
Behaviour Research And Therapy,Behav Res Ther,3.798,,
Health Psychology,Health Psychol,3.611,,
Journal Of Abnormal Child Psychology,J Abnorm Child Psych,3.579,,
Mindfulness,Mindfulness,3.317,,
Behavior Therapy,Behav Ther,3.276,,
Clinical Child And Family Psychology Review,Clin Child Fam Psych,3.146,,
Personality Disorders-Theory Research And Treatment,Personal Disord,2.913,,
European Eating Disorders Review,Eur Eat Disord Rev,2.912,,
Psychological Assessment,Psychol Assessment,2.901,,
British Journal Of Health Psychology,Brit J Health Psych,2.895,,
Assessment,Assessment,2.879,,
Neuropsychology,Neuropsychology,2.879,,
Journal Of Sex Research,J Sex Res,2.862,,
Addictive Behaviors,Addict Behav,2.795,,
Psychology Of Violence,Psychol Violence,2.79,,
Archives Of Sexual Behavior,Arch Sex Behav,2.704,,
Journal Of Traumatic Stress,J Trauma Stress,2.624,,
Clinical Psychology & Psychotherapy,Clin Psychol Psychot,2.578,,
Psychotherapy Research,Psychother Res,2.57,,
Journal Of Substance Abuse Treatment,J Subst Abuse Treat,2.465,,
Journal Of Anxiety Disorders,J Anxiety Disord,2.381,,
European Journal Of Psychotraumatology,Eur J Psychotraumato,2.325,,
Journal Of Personality Assessment,J Pers Assess,2.258,,
Journal Of Clinical Psychology,J Clin Psychol,2.236,,
Journal Of Behavioral Medicine,J Behav Med,2.227,,
British Journal Of Clinical Psychology,Brit J Clin Psychol,2.224,,
International Psychogeriatrics,Int Psychogeriatr,2.22,,
International Journal Of Clinical And Health Psychology,Int J Clin Hlth Psyc,2.217,,
Journal Of Behavior Therapy And Experimental Psychiatry,J Behav Ther Exp Psy,2.193,,
Family Process,Fam Process,2.187,,
Cognitive And Behavioral Practice,Cogn Behav Pract,2.15,,
Experimental And Clinical Psychopharmacology,Exp Clin Psychopharm,2.139,,
Cognitive Behaviour Therapy,Cogn Behav Therapy,2.129,,
Clinical Psychology-Science And Practice,Clin Psychol-Sci Pr,2.113,,
Body Image,Body Image,2.104,,
Cognitive Therapy And Research,Cognitive Ther Res,2.027,,
Journal Of Psychopathology And Behavioral Assessment,J Psychopathol Behav,2.025,,
Archives Of Clinical Neuropsychology,Arch Clin Neuropsych,2.014,,
Journal Of Health Psychology,J Health Psychol,2.01,,
Sexual Abuse-A Journal Of Research And Treatment,Sex Abuse-J Res Tr,1.981,,
Eating Behaviors,Eat Behav,1.962,,
Behavioural And Cognitive Psychotherapy,Behav Cogn Psychoth,1.945,,
American Behavioral Scientist,Am Behav Sci,1.907,,
International Journal Of Behavioral Medicine,Int J Behav Med,1.872,,
American Journal Of Drug And Alcohol Abuse,Am J Drug Alcohol Ab,1.828,,
Journal Of Psychoactive Drugs,J Psychoactive Drugs,1.775,,
Psychotherapy,Psychotherapy,1.735,,
Journal Of Clinical And Experimental Neuropsychology,J Clin Exp Neuropsyc,1.693,,
Journal Of Mental Health,J Ment Health,1.691,,
Journal Of Family Psychology,J Fam Psychol,1.665,,
Psychology And Psychotherapy-Theory Research And Practice,Psychol Psychother-T,1.661,,
Psychological Services,Psychol Serv,1.575,,
Psychological Trauma-Theory Research Practice And Policy,Psychol Trauma-Us,1.573,,
Clinical Neuropsychologist,Clin Neuropsychol,1.556,,
Journal Of Positive Behavior Interventions,J Posit Behav Interv,1.545,,
