nfull,nabb,if,,
Trends In Cognitive Sciences,Trends Cogn Sci,17.85,,
Advances In Experimental Social Psychology,Adv Exp Soc Psychol,6.15,,
Journal Of Memory And Language,J Mem Lang,5.218,,
Social Cognitive And Affective Neuroscience,Soc Cogn Affect Neur,5.101,,
Cognitive Psychology,Cognitive Psychol,4.537,,
Journal Of Experimental Psychology-General,J Exp Psychol Gen,4.07,,
Developmental Science,Developmental Sci,3.982,,
British Journal Of Mathematical & Statistical Psychology,Brit J Math Stat Psy,3.698,,
Journal Of Cognitive Neuroscience,J Cognitive Neurosci,3.559,,
Journal Of Neuropsychology,J Neuropsychol,3.537,,
Cognition,Cognition,3.411,,
Biological Psychology,Biol Psychol,3.234,,
Emotion,Emotion,3.082,,
Psychonomic Bulletin & Review,Psychon B Rev,3.08,,
Psychophysiology,Psychophysiology,3.074,,
Behavior Research Methods,Behav Res Methods,3.048,,
Brain And Language,Brain Lang,3.038,,
Neuropsychologia,Neuropsychologia,2.989,,
Thinking & Reasoning,Think Reasoning,2.958,,
Computers In Human Behavior,Comput Hum Behav,2.88,,
Journal Of Experimental Psychology-Learning Memory And Cognition,J Exp Psychol Learn,2.776,,
Cognitive Science,Cognitive Sci,2.706,,
Psychological Research-Psychologische Forschung,Psychol Res-Psych Fo,2.681,,
Psychology Of Learning And Motivation,Psychol Learn Motiv,2.667,,
International Journal Of Psychophysiology,Int J Psychophysiol,2.596,,
Journal Of Experimental Psychology-Human Perception And Performance,J Exp Psychol Human,2.425,,
Cognition & Emotion,Cognition Emotion,2.418,,
Brain And Cognition,Brain Cognition,2.399,,
Journal Of Experimental Child Psychology,J Exp Child Psychol,2.333,,
Bilingualism-Language And Cognition,Biling-Lang Cogn,2.33,,
Topics In Cognitive Science,Top Cogn Sci,2.241,,
Psychology Of Aesthetics Creativity And The Arts,Psychol Aesthet Crea,2.224,,
Consciousness And Cognition,Conscious Cogn,2.182,,
Cognition And Instruction,Cognition Instruct,2.172,,
Journal Of The Experimental Analysis Of Behavior,J Exp Anal Behav,2.171,,
Quarterly Journal Of Experimental Psychology,Q J Exp Psychol,2.13,,
Language And Cognitive Processes,Lang Cognitive Proc,2.101,,
Journal Of Applied Research In Memory And Cognition,J Appl Res Mem Cogn,2.063,,
Memory & Cognition,Mem Cognition,2.039,,
Psychology Of Music,Psychol Music,2.01,,
Experimental Psychology,Exp Psychol,2,,
Memory,Memory,1.976,,
Developmental Neuropsychology,Dev Neuropsychol,1.947,,
Journal Of Cognitive Psychology,J Cogn Psychol,1.892,,
Mind & Language,Mind Lang,1.867,,
Applied Psycholinguistics,Appl Psycholinguist,1.833,,
Acta Psychologica,Acta Psychol,1.816,,
I-Perception,I-Perception,1.813,,
New Ideas In Psychology,New Ideas Psychol,1.79,,
Attention Perception & Psychophysics,Atten Percept Psycho,1.782,,
Journal Of Experimental Psychology-Animal Learning And Cognition,J Exp Psychol-Anim L,1.779,,
Journal Of Cognition And Development,J Cogn Dev,1.776,,
Wiley Interdisciplinary Reviews-Cognitive Science,Wires Cogn Sci,1.68,,
Motivation And Emotion,Motiv Emotion,1.612,,
Human Movement Science,Hum Movement Sci,1.606,,
Journal Of Motor Behavior,J Motor Behav,1.573,,
Cognitive Development,Cognitive Dev,1.571,,
Multivariate Behavioral Research,Multivar Behav Res,1.551,,
Applied Cognitive Psychology,Appl Cognitive Psych,1.481,,
Language Cognition And Neuroscience,Lang Cogn Neurosci,1.47,,
Canadian Journal Of Experimental Psychology-Revue Canadienne De Psychologie Experimentale,Can J Exp Psychol,1.453,,
Advances In Cognitive Psychology,Adv Cogn Psychol,1.444,,
Cognitive Neuropsychology,Cogn Neuropsychol,1.444,,
Visual Cognition,Vis Cogn,1.433,,
Music Perception,Music Percept,1.367,,
Cognitive Processing,Cogn Process,1.34,,
Musicae Scientiae,Music Sci,1.321,,
Journal Of Neurolinguistics,J Neurolinguist,1.296,,
Learning & Behavior,Learn Behav,1.254,,
Aging Neuropsychology And Cognition,Aging Neuropsychol C,1.25,,
Laterality,Laterality,1.239,,
Cognitive Systems Research,Cogn Syst Res,1.204,,
Journal Of Child Language,J Child Lang,1.174,,
Learning And Motivation,Learn Motiv,1.146,,
Adaptive Behavior,Adapt Behav,1.098,,
Discourse Processes,Discourse Process,1.056,,
Evolutionary Psychology,Evol Psychol-Us,1.05,,
Language And Speech,Lang Speech,1.041,,
Multisensory Research,Multisens Res,1.036,,
Perception,Perception,0.917,,
Ecological Psychology,Ecol Psychol,0.87,,
Spatial Cognition And Computation,Spat Cogn Comput,0.76,,
Journal Of Psycholinguistic Research,J Psycholinguist Res,0.722,,
Perceptual And Motor Skills,Percept Motor Skill,0.618,,
Psicologica,Psicologica,0.281,,
