nfull,nabb,if,,
Psychological Science In The Public Interest,Psychol Sci Publ Int,19.286,,
Annual Review Of Psychology,Annu Rev Psychol,19.085,,
Psychological Bulletin,Psychol Bull,14.839,,
Perspectives On Psychological Science,Perspect Psychol Sci,7.658,,
Psychological Review,Psychol Rev,7.581,,
Psychological Inquiry,Psychol Inq,6.714,,
Current Directions In Psychological Science,Curr Dir Psychol Sci,5.545,,
Journal Of Abnormal Psychology,J Abnorm Psychol,5.538,,
Psychological Science,Psychol Sci,5.476,,
American Psychologist,Am Psychol,5.454,,
Psychological Methods,Psychol Methods,5,,
Emotion Review,Emot Rev,4.73,,
Annals Of Behavioral Medicine,Ann Behav Med,4.195,,
Psychosomatic Medicine,Psychosom Med,3.638,,
Neurobiology Of Learning And Memory,Neurobiol Learn Mem,3.439,,
European Psychologist,Eur Psychol,3.372,,
Behavior Genetics,Behav Genet,3.268,,
Psycho-Oncology,Psycho-Oncology,3.256,,
Intelligence,Intelligence,3.118,,
Environment And Behavior,Environ Behav,2.892,,
Computers In Human Behavior,Comput Hum Behav,2.88,,
Journals Of Gerontology Series B-Psychological Sciences And Social Sciences,J Gerontol B-Psychol,2.813,,
Psychology Of Addictive Behaviors,Psychol Addict Behav,2.78,,
Journal Of Gambling Studies,J Gambl Stud,2.75,,
Suicide And Life-Threatening Behavior,Suicide Life-Threat,2.726,,
Journal Of Environmental Psychology,J Environ Psychol,2.647,,
Journal Of Comparative Psychology,J Comp Psychol,2.494,,
Aggressive Behavior,Aggressive Behav,2.469,,
Frontiers In Psychology,Front Psychol,2.463,,
Psychology Of Women Quarterly,Psychol Women Quart,2.397,,
British Journal Of Psychology,Brit J Psychol,2.243,,
Body Image,Body Image,2.104,,
American Journal Of Community Psychology,Am J Commun Psychol,2.068,,
Psychology Public Policy And Law,Psychol Public Pol L,1.986,,
Psychology & Health,Psychol Health,1.983,,
Journal Of Emotional And Behavioral Disorders,J Emot Behav Disord,1.951,,
Aggression And Violent Behavior,Aggress Violent Beh,1.912,,
Journal Of Positive Psychology,J Posit Psychol,1.909,,
Aids Care-Psychological And Socio-Medical Aspects Of Aids/Hiv,Aids Care,1.902,,
Judgment And Decision Making,Judgm Decis Mak,1.856,,
Journal Of Happiness Studies,J Happiness Stud,1.846,,
Psychology Of Religion And Spirituality,Psychol Relig Spirit,1.826,,
Archives Of Suicide Research,Arch Suicide Res,1.808,,
New Ideas In Psychology,New Ideas Psychol,1.79,,
Legal And Criminological Psychology,Legal Criminol Psych,1.776,,
Journal Of Economic Psychology,J Econ Psychol,1.677,,
Anxiety Stress And Coping,Anxiety Stress Copin,1.596,,
Crisis-The Journal Of Crisis Intervention And Suicide Prevention,Crisis,1.527,,
Review Of General Psychology,Rev Gen Psychol,1.5,,
International Journal Of Human-Computer Studies,Int J Hum-Comput St,1.476,,
Asian American Journal Of Psychology,Asian Am J Psychol,1.388,,
Scandinavian Journal Of Psychology,Scand J Psychol,1.364,,
Feminism & Psychology,Fem Psychol,1.29,,
International Journal Of Psychology,Int J Psychol,1.276,,
Canadian Psychology-Psychologie Canadienne,Can Psychol,1.262,,
Journal Of Psychology,J Psychol,1.25,,
Psicothema,Psicothema,1.245,,
Laterality,Laterality,1.239,,
Professional Psychology-Research And Practice,Prof Psychol-Res Pr,1.176,,
Philosophical Psychology,Philos Psychol,1.151,,
Discourse & Society,Discourse Soc,1.137,,
Psychologische Rundschau,Psychol Rundsch,1.107,,
Death Studies,Death Stud,1.102,,
Journal Of Neuroscience Psychology And Economics,J Neurosci Psychol E,1.061,,
Australian Journal Of Psychology,Aust J Psychol,1.035,,
