nfull,nabb,if,,
Bulletin Of The Menninger Clinic,B Menninger Clin,0.919,,
Psychoanalytic Psychology,Psychoanal Psychol,0.833,,
International Journal Of Psychoanalysis,Int J Psychoanal,0.718,,
Zeitschrift Fur Psychosomatische Medizin Und Psychotherapie,Z Psychosom Med Psyc,0.659,,
Journal Of The American Psychoanalytic Association,J Am Psychoanal Ass,0.459,,
Psychoanalytic Dialogues,Psychoanal Dialogues,0.418,,
Psychoanalytic Quarterly,Psychoanal Quart,0.375,,
Psyche-Zeitschrift Fur Psychoanalyse Und Ihre Anwendungen,Psyche-Z Psychoanal,0.313,,
Psychoanalysis And History,Psychoanal Hist,0.312,,
Contemporary Psychoanalysis,Contemp Psychoanal,0.258,,
Forum Der Psychoanalyse,Forum Psychoanal,0.24,,
Psychoanalytic Inquiry,Psychoanal Inq,0.222,,
Psychoanalytic Study Of The Child,Psychoanal Stud Chil,0,,
,,,,
,,,,
