nfull,nabb,if
Annual Review Of Psychology,Annu Rev Psychol,21.81
Psychological Science In The Public Interest,Psychol Sci Publ Int,16.833
Psychological Bulletin,Psychol Bull,14.756
Perspectives On Psychological Science,Perspect Psychol Sci,9.546
Psychological Review,Psychol Rev,7.972
Psychological Methods,Psychol Methods,7.338
Psychological Inquiry,Psychol Inq,6.25
American Psychologist,Am Psychol,6.1
Current Directions In Psychological Science,Curr Dir Psychol Sci,5.678
Journal Of Abnormal Psychology,J Abnorm Psychol,5.153
Psychological Science,Psychol Sci,4.94
Annals Of Behavioral Medicine,Ann Behav Med,4.144
Neurobiology Of Learning And Memory,Neurobiol Learn Mem,3.652
Psychosomatic Medicine,Psychosom Med,3.473
Emotion Review,Emot Rev,3.356
Intelligence,Intelligence,3.245
Journals Of Gerontology Series B-Psychological Sciences And Social Sciences,J Gerontol B-Psychol,3.213
Behavior Genetics,Behav Genet,3.21
Psychology Of Addictive Behaviors,Psychol Addict Behav,2.747
Computers In Human Behavior,Comput Hum Behav,2.694
Journal Of Environmental Psychology,J Environ Psychol,2.64
Environment And Behavior,Environ Behav,2.612
Frontiers In Psychology,Front Psychol,2.56
Psycho-Oncology,Psycho-Oncology,2.443
Journal Of Comparative Psychology,J Comp Psychol,2.344
Journal Of Gambling Studies,J Gambl Stud,2.29
Aggressive Behavior,Aggressive Behav,2.275
British Journal Of Psychology,Brit J Psychol,2.254
American Journal Of Community Psychology,Am J Commun Psychol,2.145
Aids Care-Psychological And Socio-Medical Aspects Of Aids/Hiv,Aids Care,2.095
Body Image,Body Image,2.042
Aggression And Violent Behavior,Aggress Violent Beh,1.926
Journal Of Positive Psychology,J Posit Psychol,1.911
Psychology Of Women Quarterly,Psychol Women Quart,1.879
Psychology & Health,Psychol Health,1.871
Suicide And Life-Threatening Behavior,Suicide Life-Threat,1.853
Canadian Psychology-Psychologie Canadienne,Can Psychol,1.825
Anxiety Stress And Coping,Anxiety Stress Copin,1.779
European Psychologist,Eur Psychol,1.778
Journal Of Psychology,J Psychol,1.773
Asian American Journal Of Psychology,Asian Am J Psychol,1.686
Journal Of Happiness Studies,J Happiness Stud,1.683
Journal Of Emotional And Behavioral Disorders,J Emot Behav Disord,1.659
Zeitschrift Fur Psychologie-Journal Of Psychology,Z Psychol,1.569
Judgment And Decision Making,Judgm Decis Mak,1.521
Legal And Criminological Psychology,Legal Criminol Psych,1.49
Crisis-The Journal Of Crisis Intervention And Suicide Prevention,Crisis,1.482
Psychology Public Policy And Law,Psychol Public Pol L,1.469
Creativity Research Journal,Creativity Res J,1.46
Psychology Of Religion And Spirituality,Psychol Relig Spirit,1.458
European Journal Of Psychology Applied To Legal Context,Eur J Psychol Appl L,1.45
New Ideas In Psychology,New Ideas Psychol,1.444
Professional Psychology-Research And Practice,Prof Psychol-Res Pr,1.398
Archives Of Suicide Research,Arch Suicide Res,1.385
Laterality,Laterality,1.356
International Journal Of Human-Computer Studies,Int J Hum-Comput St,1.293
Journal Of Economic Psychology,J Econ Psychol,1.23
Psicothema,Psicothema,1.21
International Journal Of Psychology,Int J Psychol,1.198
Review Of General Psychology,Rev Gen Psychol,1.156
Journal Of Neuroscience Psychology And Economics,J Neurosci Psychol E,1.121
