nfull,nabb,if
British Journal Of Mathematical & Statistical Psychology,Brit J Math Stat Psy,3.698
Psychonomic Bulletin & Review,Psychon B Rev,3.08
Behavior Research Methods,Behav Res Methods,3.048
Methodology-European Journal Of Research Methods For The Behavioral And Social Sciences,Methodology-Eur,1.935
Psychometrika,Psychometrika,1.831
Journal Of Mathematical Psychology,J Math Psychol,1.818
Journal Of Educational Measurement,J Educ Meas,1.528
Educational And Psychological Measurement,Educ Psychol Meas,1.485
Journal Of Classification,J Classif,1.147
Journal Of Educational And Behavioral Statistics,J Educ Behav Stat,1.083
Applied Psychological Measurement,Appl Psych Meas,1
Nonlinear Dynamics Psychology And Life Sciences,Nonlin Dynam Psychol,0.979
Applied Measurement In Education,Appl Meas Educ,0.629
,,
,,
,,
