nfull,nabb,if
Personality And Social Psychology Review,Pers Soc Psychol Rev,7.571
Advances In Experimental Social Psychology,Adv Exp Soc Psychol,6.15
Journal Of Personality And Social Psychology,J Pers Soc Psychol,4.736
Social Issues And Policy Review,Soc Iss Policy Rev,4.214
European Journal Of Personality,Eur J Personality,3.989
Journal Of Personality,J Pers,3.657
Journal Of Health And Social Behavior,J Health Soc Behav,3.19
Psychology Of Men & Masculinity,Psychol Men Masculin,2.947
Organizational Behavior And Human Decision Processes,Organ Behav Hum Dec,2.805
Personality And Social Psychology Bulletin,Pers Soc Psychol B,2.56
Law And Human Behavior,Law Human Behav,2.542
Journal Of Experimental Social Psychology,J Exp Soc Psychol,2.5
Child Abuse & Neglect,Child Abuse Neglect,2.397
Social Psychological And Personality Science,Soc Psychol Pers Sci,2.325
Journal Of Personality Assessment,J Pers Assess,2.258
Journal Of Research In Personality,J Res Pers,2.251
Cyberpsychology Behavior And Social Networking,Cyberpsych Beh Soc N,2.188
Political Psychology,Polit Psychol,2.089
Journal Of Social Issues,J Soc Issues,2.08
Social Psychology,Soc Psychol-Germany,1.979
Personality And Individual Differences,Pers Indiv Differ,1.946
European Journal Of Social Psychology,Eur J Soc Psychol,1.921
British Journal Of Social Psychology,Brit J Soc Psychol,1.798
Journal Of Cross-Cultural Psychology,J Cross Cult Psychol,1.795
Cultural Diversity & Ethnic Minority Psychology,Cult Divers Ethn Min,1.79
Self And Identity,Self Identity,1.695
European Review Of Social Psychology,Eur Rev Soc Psychol,1.647
Research On Language And Social Interaction,Res Lang Soc Interac,1.628
Motivation And Emotion,Motiv Emotion,1.612
Sex Roles,Sex Roles,1.582
Journal Of Community & Applied Social Psychology,J Community Appl Soc,1.568
Journal Of Social And Personal Relationships,J Soc Pers Relat,1.459
Social Psychology Quarterly,Soc Psychol Quart,1.457
Personality And Mental Health,Personal Ment Health,1.4
Journal Of Nonverbal Behavior,J Nonverbal Behav,1.365
Basic And Applied Social Psychology,Basic Appl Soc Psych,1.343
Group Processes & Intergroup Relations,Group Process Interg,1.333
Journal Of Language And Social Psychology,J Lang Soc Psychol,1.324
Journal Of Psychosocial Oncology,J Psychosoc Oncol,1.289
Nebraska Symposium On Motivation,Nebr Sym Motiv,1.286
Social Cognition,Soc Cognition,1.286
Asian Journal Of Social Psychology,Asian J Soc Psychol,1.261
Journal Of Social And Clinical Psychology,J Soc Clin Psychol,1.222
Social Influence,Soc Influence,1.15
Journal Of Individual Differences,J Individ Differ,1.135
Small Group Research,Small Gr Res,1.078
Group Dynamics-Theory Research And Practice,Group Dyn-Theor Res,1.047
Journal Of Applied Social Psychology,J Appl Soc Psychol,1.006
Social Justice Research,Soc Justice Res,1
Analyses Of Social Issues And Public Policy,Anal Soc Iss Pub Pol,0.98
Journal For The Theory Of Social Behaviour,J Theor Soc Behav,0.978
International Journal Of Intercultural Relations,Int J Intercult Rel,0.963
Journal Of Loss & Trauma,J Loss Trauma,0.888
Personal Relationships,Pers Relationship,0.886
Journal Of Social Psychology,J Soc Psychol,0.772
Deviant Behavior,Deviant Behav,0.704
Journal Of Diversity In Higher Education,J Divers High Educ,0.676
Revista De Psicologia Social,Rev Psicol Soc,0.458
Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,Kolner Z Soziol Soz,0.393
Gedrag & Organisatie,Gedrag Organ,0.366
Social Behavior And Personality,Soc Behav Personal,0.366
Revue Internationale De Psychologie Sociale-International Review Of Social Psychology,Rev Int Psychol Soc,0.364
,,
,,
,,
,,
