nfull,nabb,if
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,7.815
RADIOLOGY,RADIOLOGY,6.798
JOURNAL OF NUCLEAR MEDICINE,J NUCL MED,5.849
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,5.771
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,5.752
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,5.537
NEUROIMAGE,NEUROIMAGE,5.463
HUMAN BRAIN MAPPING,HUM BRAIN MAPP,4.962
INVESTIGATIVE RADIOLOGY,INVEST RADIOL,4.887
RADIOTHERAPY AND ONCOLOGY,RADIOTHER ONCOL,4.817
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,4.565
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,4.495
ULTRASCHALL IN DER MEDIZIN,ULTRASCHALL MED,4.434
CLINICAL NUCLEAR MEDICINE,CLIN NUCL MED,4.278
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,ULTRASOUND OBST GYN,4.254
MAGNETIC RESONANCE IN MEDICINE,MAGN RESON MED,3.782
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,3.756
EUROPEAN RADIOLOGY,EUR RADIOL,3.64
SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,3.556
INTERNATIONAL JOURNAL OF HYPERTHERMIA,INT J HYPERTHER,3.361
Biomedical Optics Express,BIOMED OPT EXPRESS,3.344
Contrast Media & Molecular Imaging,CONTRAST MEDIA MOL I,3.286
JOURNAL OF MAGNETIC RESONANCE IMAGING,J MAGN RESON IMAGING,3.25
AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,3.124
RADIATION RESEARCH,RADIAT RES,3.022
NMR IN BIOMEDICINE,NMR BIOMED,2.983
