nfull,nabb,if
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,5.881
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,ISPRS J PHOTOGRAMM,4.188
International Journal of Applied Earth Observation and Geoinformation,INT J APPL EARTH OBS,3.798
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE T GEOSCI REMOTE,3.36
Remote Sensing,REMOTE SENS-BASEL,3.036
GPS SOLUTIONS,GPS SOLUT,2.991
International Journal of Digital Earth,INT J DIGIT EARTH,2.762
JOURNAL OF GEODESY,J GEODESY,2.486
GIScience & Remote Sensing,GISCI REMOTE SENS,2.482
IEEE Geoscience and Remote Sensing Letters,IEEE GEOSCI REMOTE S,2.228
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,IEEE J-STARS,2.145
CANADIAN JOURNAL OF REMOTE SENSING,CAN J REMOTE SENS,1.976
INTERNATIONAL JOURNAL OF REMOTE SENSING,INT J REMOTE SENS,1.64
PHOTOGRAMMETRIC RECORD,PHOTOGRAMM REC,1.622
Remote Sensing Letters,REMOTE SENS LETT,1.487
Spatial Statistics,SPAT STAT-NETH,1.385
Geocarto International,GEOCARTO INT,1.38
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,PHOTOGRAMM ENG REM S,1.288
RADIO SCIENCE,RADIO SCI,1.273
European Journal of Remote Sensing,EUR J REMOTE SENS,1.173
Journal of Spatial Science,J SPAT SCI,1.095
MARINE GEODESY,MAR GEOD,0.979
Navigation-Journal of the Institute of Navigation,NAVIGATION-US,0.979
Journal of Applied Remote Sensing,J APPL REMOTE SENS,0.937
Journal of the Indian Society of Remote Sensing,J INDIAN SOC REMOTE,0.676
ISPRS International Journal of Geo-Information,ISPRS INT J GEO-INF,0.651
SURVEY REVIEW,SURV REV,0.573
Photogrammetrie Fernerkundung Geoinformation,PHOTOGRAMM FERNERKUN,0.554
