nfull,nabb,if
HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,11.194
HUMAN REPRODUCTION,HUM REPROD,4.621
FERTILITY AND STERILITY,FERTIL STERIL,4.426
MOLECULAR HUMAN REPRODUCTION,MOL HUM REPROD,3.943
BIOLOGY OF REPRODUCTION,BIOL REPROD,3.471
JOURNAL OF REPRODUCTIVE IMMUNOLOGY,J REPROD IMMUNOL,3.202
REPRODUCTION,REPRODUCTION,3.184
PLACENTA,PLACENTA,2.972
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,AM J REPROD IMMUNOL,2.916
REPRODUCTIVE TOXICOLOGY,REPROD TOXICOL,2.85
REPRODUCTIVE BIOMEDICINE ONLINE,REPROD BIOMED ONLINE,2.796
Journal of Ovarian Research,J OVARIAN RES,2.502
Plant Reproduction,PLANT REPROD,2.468
Reproductive Sciences,REPROD SCI,2.429
Reproductive Biology and Endocrinology,REPROD BIOL ENDOCRIN,2.147
MOLECULAR REPRODUCTION AND DEVELOPMENT,MOL REPROD DEV,2.141
REPRODUCTION FERTILITY AND DEVELOPMENT,REPROD FERT DEVELOP,2.135
SEMINARS IN REPRODUCTIVE MEDICINE,SEMIN REPROD MED,2.113
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,J ASSIST REPROD GEN,1.858
THERIOGENOLOGY,THERIOGENOLOGY,1.838
Reproductive Biology,REPROD BIOL,1.722
European Journal of Obstetrics & Gynecology and Reproductive Biology,EUR J OBSTET GYN R B,1.662
JOURNAL OF REPRODUCTION AND DEVELOPMENT,J REPROD DEVELOP,1.453
ANIMAL REPRODUCTION SCIENCE,ANIM REPROD SCI,1.377
ZYGOTE,ZYGOTE,1.37
REPRODUCTION IN DOMESTIC ANIMALS,REPROD DOMEST ANIM,1.21
Systems Biology in Reproductive Medicine,SYST BIOL REPROD MED,1.204
Human Fertility,HUM FERTIL,0.988
INVERTEBRATE REPRODUCTION & DEVELOPMENT,INVERTEBR REPROD DEV,0.486
