nfull,nabb,if
Lancet Respiratory Medicine,LANCET RESP MED,15.328
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,13.118
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,8.332
THORAX,THORAX,8.121
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,7.509
CHEST,CHEST,6.136
Journal of Thoracic Oncology,J THORAC ONCOL,5.04
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AM J PHYSIOL-LUNG C,4.721
Journal of Breath Research,J BREATH RES,4.177
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,4.082
Journal of Cystic Fibrosis,J CYST FIBROS,3.853
LUNG CANCER,LUNG CANCER,3.767
RESPIRATORY RESEARCH,RESP RES,3.751
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,3.494
CURRENT OPINION IN PULMONARY MEDICINE,CURR OPIN PULM MED,3.079
RESPIROLOGY,RESPIROLOGY,3.078
International Journal of Chronic Obstructive Pulmonary Disease,INT J CHRONIC OBSTR,3.046
Journal of Aerosol Medicine and Pulmonary Drug Delivery,J AEROSOL MED PULM D,3.041
RESPIRATORY MEDICINE,RESP MED,3.036
ANNALS OF THORACIC SURGERY,ANN THORAC SURG,3.021
TUBERCULOSIS,TUBERCULOSIS,2.952
PULMONARY PHARMACOLOGY & THERAPEUTICS,PULM PHARMACOL THER,2.93
PEDIATRIC PULMONOLOGY,PEDIATR PULM,2.85
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,EUR J CARDIO-THORAC,2.803
RESPIRATION,RESPIRATION,2.651
Paediatric Respiratory Reviews,PAEDIATR RESPIR REV,2.536
Primary Care Respiratory Journal,PRIM CARE RESP J,2.434
CLINICS IN CHEST MEDICINE,CLIN CHEST MED,2.359
Sleep and Breathing,SLEEP BREATH,2.332
BMC Pulmonary Medicine,BMC PULM MED,2.329
Therapeutic Advances in Respiratory Disease,THER ADV RESPIR DIS,2.286
SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,SEMIN RESP CRIT CARE,2.274
Expert Review of Respiratory Medicine,EXPERT REV RESP MED,2.176
COPD-Journal of Chronic Obstructive Pulmonary Disease,COPD,2.16
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,INT J TUBERC LUNG D,2.148
Clinical Respiratory Journal,CLIN RESPIR J,2.147
LUNG,LUNG,2
Respiratory Care,RESP CARE,1.922
JOURNAL OF ASTHMA,J ASTHMA,1.854
RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,RESP PHYSIOL NEUROBI,1.773
ARCHIVOS DE BRONCONEUMOLOGIA,ARCH BRONCONEUMOL,1.771
Journal of Thoracic Disease,J THORAC DIS,1.649
Chronic Respiratory Disease,CHRON RESP DIS,1.646
Thoracic Surgery Clinics,THORAC SURG CLIN,1.547
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,1.519
SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES,SARCOIDOSIS VASC DIF,1.465
npj Primary Care Respiratory Medicine,NPJ PRIM CARE RESP M,1.447
EXPERIMENTAL LUNG RESEARCH,EXP LUNG RES,1.374
Revista Portuguesa de Pneumologia,REV PORT PNEUMOL,1.357
HEART & LUNG,HEART LUNG,1.332
Annals of Thoracic Medicine,ANN THORAC MED,1.235
Jornal Brasileiro de Pneumologia,J BRAS PNEUMOL,1.019
Canadian Respiratory Journal,CAN RESPIR J,1.016
THORACIC AND CARDIOVASCULAR SURGEON,THORAC CARDIOV SURG,0.957
Pediatric Allergy Immunology and Pulmonology,PEDIAT ALLER IMM PUL,0.941
Thoracic Cancer,THORAC CANCER,0.799
REVUE DES MALADIES RESPIRATOIRES,REV MAL RESPIR,0.536
Revue de Pneumologie Clinique,REV PNEUMOL CLIN,0.256
