nfull,nabb,if
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,12.384
Nature Reviews Rheumatology,NAT REV RHEUMATOL,10.531
ARTHRITIS AND RHEUMATISM,ARTHRITIS RHEUM-US,8.955
Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,6.009
OSTEOARTHRITIS AND CARTILAGE,OSTEOARTHR CARTILAGE,4.535
RHEUMATOLOGY,RHEUMATOLOGY,4.524
CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,4.227
ARTHRITIS RESEARCH & THERAPY,ARTHRITIS RES THER,3.979
SEMINARS IN ARTHRITIS AND RHEUMATISM,SEMIN ARTHRITIS RHEU,3.946
BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,BEST PRACT RES CL RH,3.267
JOURNAL OF RHEUMATOLOGY,J RHEUMATOL,3.236
ARTHRITIS CARE & RESEARCH,ARTHRIT CARE RES,3.229
Current Rheumatology Reports,CURR RHEUMATOL REP,2.976
JOINT BONE SPINE,JOINT BONE SPINE,2.946
RHEUMATIC DISEASE CLINICS OF NORTH AMERICA,RHEUM DIS CLIN N AM,2.791
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,CLIN EXP RHEUMATOL,2.495
SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,SCAND J RHEUMATOL,2.307
Pediatric Rheumatology,PEDIATR RHEUMATOL,2.144
LUPUS,LUPUS,2.118
CLINICAL RHEUMATOLOGY,CLIN RHEUMATOL,2.042
International Journal of Rheumatic Diseases,INT J RHEUM DIS,1.914
Modern Rheumatology,MOD RHEUMATOL,1.843
RHEUMATOLOGY INTERNATIONAL,RHEUMATOL INT,1.702
BMC MUSCULOSKELETAL DISORDERS,BMC MUSCULOSKEL DIS,1.684
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,JCR-J CLIN RHEUMATOL,1.245
Revista Brasileira De Reumatologia,REV BRAS REUMATOL,0.859
ZEITSCHRIFT FUR RHEUMATOLOGIE,Z RHEUMATOL,0.569
Acta Reumatologica Portuguesa,ACTA REUMATOL PORT,0.553
JOURNAL OF MUSCULOSKELETAL PAIN,J MUSCULOSKELET PAIN,0.269
Archives of Rheumatology,ARCH RHEUMATOL,0.22
Turkish Journal of Rheumatology,TURK J RHEUMATOL,0.15
AKTUELLE RHEUMATOLOGIE,AKTUEL RHEUMATOL,0.069
