nfull,nabb,if
Soft Robotics,SOFT ROBOT,6.13
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,2.891
Swarm Intelligence,SWARM INTELL-US,2.577
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,INT J ROBOT RES,2.489
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,2.077
Journal of Field Robotics,J FIELD ROBOT,2.059
IEEE Transactions on Robotics,IEEE T ROBOT,2.028
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,1.822
Frontiers in Neurorobotics,FRONT NEUROROBOTICS,1.723
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,1.618
AUTONOMOUS ROBOTS,AUTON ROBOT,1.547
Journal of Bionic Engineering,J BIONIC ENG,1.466
International Journal of Social Robotics,INT J SOC ROBOT,1.407
IEEE Transactions on Autonomous Mental Development,IEEE T AUTON MENT DE,1.205
Journal of Mechanisms and Robotics-Transactions of the ASME,J MECH ROBOT,1.044
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0.932
ROBOTICA,ROBOTICA,0.824
Applied Bionics and Biomechanics,APPL BIONICS BIOMECH,0.703
International Journal of Advanced Robotic Systems,INT J ADV ROBOT SYST,0.615
Intelligent Service Robotics,INTEL SERV ROBOT,0.605
International Journal of Humanoid Robotics,INT J HUM ROBOT,0.547
ADVANCED ROBOTICS,ADV ROBOTICS,0.516
Revista Iberoamericana de Automatica e Informatica Industrial,REV IBEROAM AUTOM IN,0.475
INDUSTRIAL ROBOT-AN INTERNATIONAL JOURNAL,IND ROBOT,0.422
INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,INT J ROBOT AUTOM,0.318
