nfull,nabb,if,,
American Journal Of Bioethics,Am J Bioethics,6.5,,
Social Issues And Policy Review,Soc Iss Policy Rev,4.214,,
Journal Of Cancer Survivorship,J Cancer Surviv,3.478,,
Science Technology & Human Values,Sci Technol Hum Val,2.646,,
Journal Of Social Issues,J Soc Issues,2.08,,
Journal Of Medical Ethics,J Med Ethics,1.764,,
Bioethics,Bioethics,1.75,,
Journal Of Occupational Rehabilitation,J Occup Rehabil,1.644,,
Social Politics,Soc Polit,1.447,,
Journal Of Health Politics Policy And Law,J Health Polit Polic,1.436,,
Politics & Society,Polit Soc,1.429,,
Journal Of European Social Policy,J Eur Soc Policy,1.426,,
Youth & Society,Youth Soc,1.418,,
Nonprofit And Voluntary Sector Quarterly,Nonprof Volunt Sec Q,1.286,,
Addiction Research & Theory,Addict Res Theory,1.252,,
South European Society And Politics,S Eur Soc Polit,1.241,,
Journal Of Bioethical Inquiry,J Bioethic Inq,1.204,,
Critical Social Policy,Crit Soc Policy,1.175,,
Journal Of Social Policy,J Soc Policy,1.151,,
Kennedy Institute Of Ethics Journal,Kennedy Inst Ethic J,1.129,,
Death Studies,Death Stud,1.102,,
Voluntas,Voluntas,1.097,,
Social Policy & Administration,Soc Policy Admin,1.069,,
Analyses Of Social Issues And Public Policy,Anal Soc Iss Pub Pol,0.98,,
New Genetics And Society,New Genet Soc,0.929,,
Zygon,Zygon,0.855,,
Theoretical Medicine And Bioethics,Theor Med Bioeth,0.804,,
Australian Journal Of Social Issues,Aust J Soc Issues,0.733,,
Human Rights Quarterly,Hum Rights Quart,0.631,,
Journal Of Gender Studies,J Gender Stud,0.604,,
Race & Class,Race Class,0.566,,
Bulletin Of The Atomic Scientists,B Atom Sci,0.495,,
Issues In Science And Technology,Issues Sci Technol,0.467,,
Columbia Journal Of Law And Social Problems,Columbia J Law Soc P,0.346,,
Tydskrif Vir Geesteswetenskappe,Tydskr Geesteswet,0.322,,
Dissent,Dissent,0.23,,
Revista De Estudios Sociales,Rev Estud Soc,0.192,,
Drustvena Istrazivanja,Drus Istraz,0.177,,
Futurist,Futurist,0.169,,
Journal Of Social Philosophy,J Soc Philos,0.136,,
Revija Za Socijalnu Politiku,Rev Soc Polit,0.091,,
,,,,
,,,,
