nfull,nabb,if
American Journal Of Bioethics,Am J Bioethics,6.5
Psycho-Oncology,Psycho-Oncology,3.256
Evolution And Human Behavior,Evol Hum Behav,3.223
Aids And Behavior,Aids Behav,3.063
Social Science & Medicine,Soc Sci Med,2.814
Critical Public Health,Crit Public Health,2.53
International Perspectives On Sexual And Reproductive Health,Int Perspect Sex R H,2.03
Sociology Of Health & Illness,Sociol Health Ill,1.988
Aids Care-Psychological And Socio-Medical Aspects Of Aids/Hiv,Aids Care,1.902
Human Nature-An Interdisciplinary Biosocial Perspective,Hum Nature-Int Bios,1.895
Bmc Medical Ethics,Bmc Med Ethics,1.84
Biosocieties,Biosocieties,1.789
Journal Of Medical Ethics,J Med Ethics,1.764
Bioethics,Bioethics,1.75
Hastings Center Report,Hastings Cent Rep,1.731
Culture Health & Sexuality,Cult Health Sex,1.588
Health Risk & Society,Health Risk Soc,1.544
Biodemography And Social Biology,Biodemogr Soc Biol,1.5
Journal Of Health Politics Policy And Law,J Health Polit Polic,1.436
Journal Of Family Planning And Reproductive Health Care,J Fam Plan Reprod H,1.308
Neuroethics,Neuroethics-Neth,1.305
Journal Of Medicine And Philosophy,J Med Philos,1.293
Medical Anthropology,Med Anthropol,1.283
Journal Of Bioethical Inquiry,J Bioethic Inq,1.204
Health,Health-London,1.11
Death Studies,Death Stud,1.102
Medical Anthropology Quarterly,Med Anthropol Q,1.067
Journal Of Biosocial Science,J Biosoc Sci,1.056
Culture Medicine And Psychiatry,Cult Med Psychiat,1.032
New Genetics And Society,New Genet Soc,0.929
Health Care Analysis,Health Care Anal,0.875
Social Theory & Health,Soc Theor Health,0.814
Theoretical Medicine And Bioethics,Theor Med Bioeth,0.804
Cambridge Quarterly Of Healthcare Ethics,Camb Q Healthc Ethic,0.697
Anthropology & Medicine,Anthropol Med,0.56
International Journal Of Feminist Approaches To Bioethics,Int J Fem Approaches,0.488
Omega-Journal Of Death And Dying,Omega-J Death Dying,0.402
Journal Of Legal Medicine,J Legal Med,0.396
Acta Bioethica,Acta Bioeth,0.051
,,
