nfull,nabb,if,,
Trauma Violence & Abuse,Trauma Violence Abus,3.191,,
Child Abuse & Neglect,Child Abuse Neglect,2.397,,
Child Maltreatment,Child Maltreatment,2.292,,
American Journal Of Community Psychology,Am J Commun Psychol,2.068,,
Health & Social Care In The Community,Health Soc Care Comm,1.557,,
Health & Social Work,Health Soc Work,1.523,,
American Journal Of Orthopsychiatry,Am J Orthopsychiat,1.276,,
Research On Social Work Practice,Res Social Work Prac,1.216,,
Journal Of Social Policy,J Soc Policy,1.151,,
Social Work,Soc Work,1.145,,
Social Service Review,Soc Serv Rev,1.119,,
Social Policy & Administration,Soc Policy Admin,1.069,,
Child & Family Social Work,Child Fam Soc Work,1.064,,
British Journal Of Social Work,Brit J Soc Work,1.027,,
Children And Youth Services Review,Child Youth Serv Rev,0.969,,
Journal Of Social Work Practice,J Soc Work Pract,0.964,,
Child Abuse Review,Child Abuse Rev,0.941,,
Family Relations,Fam Relat,0.912,,
Social Work Research,Soc Work Res,0.906,,
Affilia-Journal Of Women And Social Work,Affilia J Wom Soc Wo,0.831,,
Children & Society,Child Soc,0.808,,
Social Work In Health Care,Soc Work Health Care,0.8,,
Journal Of Community Psychology,J Community Psychol,0.797,,
International Journal Of Social Welfare,Int J Soc Welf,0.795,,
Families In Society-The Journal Of Contemporary Social Services,Fam Soc,0.758,,
Administration In Social Work,Admin Soc Work,0.75,,
European Journal Of Social Work,Eur J Soc Work,0.678,,
Australian Social Work,Aust Soc Work,0.667,,
Social Work In Public Health,Soc Work Public Hlth,0.643,,
Clinical Social Work Journal,Clin Soc Work J,0.595,,
Qualitative Social Work,Qual Soc Work,0.589,,
Journal Of Social Work Education,J Soc Work Educ,0.578,,
Journal Of Social Service Research,J Soc Serv Res,0.51,,
Journal Of Social Work,J Soc Work,0.484,,
International Social Work,Int Soc Work,0.438,,
Human Service Organizations Management Leadership & Governance,Hum Serv Org Manage,0.429,,
Revista De Cercetare Si Interventie Sociala,Rev Cercet Interv So,0.424,,
Smith College Studies In Social Work,Smith Coll Stud Soc,0.366,,
Asia Pacific Journal Of Social Work And Development,Asia Pac J Soc Work,0.333,,
Australian Journal Of Guidance And Counselling,Aust J Guid Couns,0.25,,
Ljetopis Socijalnog Rada,Ljetop Soc Rada,0.043,,
,,,,
,,,,
,,,,
