nfull,nabb,if,,
Annual Review Of Sociology,Annu Rev Sociol,4.509,,
American Sociological Review,Am Sociol Rev,3.989,,
Sociological Methods & Research,Sociol Method Res,3.224,,
Journal Of Consumer Culture,J Consum Cult,2.816,,
Social Networks,Soc Networks,2.784,,
Work And Occupations,Work Occupation,2.667,,
American Journal Of Sociology,Am J Sociol,2.574,,
Cornell Hospitality Quarterly,Cornell Hosp Q,2.408,,
Gender & Society,Gender Soc,2.4,,
Rural Sociology,Rural Sociol,2.317,,
Annals Of Tourism Research,Ann Tourism Res,2.275,,
Agriculture And Human Values,Agr Hum Values,2.222,,
Sociology-The Journal Of The British Sociological Association,Sociology,2.165,,
Work Employment And Society,Work Employ Soc,2.153,,
Information Communication & Society,Inform Commun Soc,2.109,,
Sociology Of Education,Sociol Educ,2,,
Sociology Of Health & Illness,Sociol Health Ill,1.988,,
Sociological Theory,Sociol Theor,1.941,,
Population And Development Review,Popul Dev Rev,1.926,,
Socio-Economic Review,Socio-Econ Rev,1.926,,
Journal Of Marriage And Family,J Marriage Fam,1.873,,
British Journal Of Sociology,Brit J Sociol,1.871,,
Theory And Society,Theor Soc,1.776,,
Social Science Research,Soc Sci Res,1.77,,
Sociological Methodology,Sociol Methodol,1.765,,
European Sociological Review,Eur Sociol Rev,1.76,,
Society & Natural Resources,Soc Natur Resour,1.758,,
Social Forces,Soc Forces,1.736,,
Qualitative Research,Qual Res,1.671,,
Society And Mental Health,Soc Ment Health,1.667,,
Current Sociology,Curr Sociol,1.643,,
Human Ecology,Hum Ecol,1.604,,
Language In Society,Lang Soc,1.525,,
Biodemography And Social Biology,Biodemogr Soc Biol,1.5,,
Politics & Society,Polit Soc,1.429,,
Youth & Society,Youth Soc,1.418,,
Social Indicators Research,Soc Indic Res,1.38,,
Sociologia Ruralis,Sociol Ruralis,1.38,,
Research In Social Stratification And Mobility,Res Soc Strat Mobil,1.379,,
Journal Of Sociology,J Sociol,1.354,,
International Review For The Sociology Of Sport,Int Rev Sociol Sport,1.341,,
Social Problems,Soc Probl,1.291,,
International Political Sociology,Int Polit Sociol,1.284,,
Men And Masculinities,Men Masc,1.25,,
Qualitative Sociology,Qual Sociol,1.25,,
Journal For The Scientific Study Of Religion,J Sci Stud Relig,1.231,,
Chinese Sociological Review,Chinese Sociol Rev,1.226,,
British Journal Of Sociology Of Education,Brit J Sociol Educ,1.22,,
Law & Society Review,Law Soc Rev,1.22,,
Sociology Of Religion,Sociol Relig,1.217,,
Poetics,Poetics,1.212,,
Global Networks-A Journal Of Transnational Affairs,Global Netw,1.207,,
Economy And Society,Econ Soc,1.204,,
Body & Society,Body Soc,1.171,,
Acta Sociologica,Acta Sociol,1.15,,
Discourse & Society,Discourse Soc,1.137,,
Annual Review Of Law And Social Science,Annu Rev Law Soc Sci,1.128,,
Media Culture & Society,Media Cult Soc,1.128,,
Sociological Review,Sociol Rev,1.102,,
Canadian Review Of Sociology-Revue Canadienne De Sociologie,Can Rev Sociol,1.098,,
City & Community,City Community,1.079,,
Ethnic And Racial Studies,Ethnic Racial Stud,1.07,,
Du Bois Review-Social Science Research On Race,Du Bois Rev,1.065,,
International Journal Of Comparative Sociology,Int J Comp Sociol,1.028,,
Journal Of Contemporary Ethnography,J Contemp Ethnogr,1,,
Social Justice Research,Soc Justice Res,1,,
Young,Young,0.977,,
Leisure Sciences,Leisure Sci,0.967,,
International Journal Of Intercultural Relations,Int J Intercult Rel,0.963,,
Cultural Sociology,Cult Sociol-London,0.909,,
Filosofija-Sociologija,Filos-Sociol,0.902,,
Journal Of Sport & Social Issues,J Sport Soc Issues,0.891,,
European Societies,Eur Soc,0.867,,
Sociological Forum,Sociol Forum,0.864,,
Symbolic Interaction,Symb Interact,0.824,,
Zeitschrift Fur Soziologie,Z Soziol,0.809,,
Sociological Inquiry,Sociol Inq,0.78,,
Comparative Studies In Society And History,Comp Stud Soc Hist,0.773,,
Human Ecology Review,Hum Ecol Rev,0.769,,
Sociological Quarterly,Sociol Quart,0.768,,
Rationality And Society,Ration Soc,0.758,,
Social Science Quarterly,Soc Sci Quart,0.752,,
Sociological Perspectives,Sociol Perspect,0.745,,
Contemporary Sociology-A Journal Of Reviews,Contemp Sociol,0.739,,
Anthrozoos,Anthrozoos,0.725,,
Mobilization,Mobilization,0.721,,
Deviant Behavior,Deviant Behav,0.704,,
Sociology Of Sport Journal,Sociol Sport J,0.689,,
Journal Of Leisure Research,J Leisure Res,0.688,,
Journal Of Law And Society,J Law Soc,0.686,,
Critical Sociology,Crit Sociol,0.684,,
Journal Of Mathematical Sociology,J Math Sociol,0.68,,
Sexualities,Sexualities,0.673,,
Sociological Research Online,Sociol Res Online,0.652,,
Ethnography,Ethnography,0.646,,
Armed Forces & Society,Armed Forces Soc,0.632,,
International Sociology,Int Sociol,0.621,,
Race & Class,Race Class,0.566,,
European Journal Of Social Theory,Eur J Soc Theory,0.564,,
Teaching Sociology,Teach Sociol,0.559,,
Food Culture & Society,Food Cult Soc,0.556,,
Social Movement Studies,Soc Movement Stud,0.532,,
Revue Francaise De Sociologie,Rev Fr Sociol,0.525,,
Scandinavian Journal Of Hospitality And Tourism,Scand J Hosp Tour,0.518,,
Crime Media Culture,Crime Media Cult,0.486,,
Nations And Nationalism,Nations Natl,0.48,,
Health Sociology Review,Health Sociol Rev,0.446,,
Archives Europeennes De Sociologie,Arch Eur Sociol,0.44,,
Canadian Journal Of Sociology-Cahiers Canadiens De Sociologie,Can J Sociol,0.426,,
Revista De Cercetare Si Interventie Sociala,Rev Cercet Interv So,0.424,,
Review Of Religious Research,Rev Relig Res,0.414,,
Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,Kolner Z Soziol Soz,0.393,,
Innovation-The European Journal Of Social Science Research,Innovation-Abingdon,0.346,,
Sociologie Du Travail,Sociol Trav,0.333,,
Society & Animals,Soc Anim,0.323,,
Sociological Spectrum,Sociol Spectrum,0.295,,
Economic And Social Review,Econ Soc Rev,0.292,,
Eastern European Countryside,East Eur Countryside,0.278,,
Contributions To Indian Sociology,Contrib Indian Soc,0.276,,
Sociologia,Sociologia-Bratislav,0.275,,
American Journal Of Economics And Sociology,Am J Econ Sociol,0.273,,
Revista Espanola De Investigaciones Sociologicas,Rev Esp Investig Soc,0.267,,
Sociologicky Casopis-Czech Sociological Review,Sociol Cas,0.262,,
Journal Of Historical Sociology,J Hist Sociol,0.261,,
Revista Internacional De Sociologia,Rev Int Sociol,0.258,,
Soziale Welt-Zeitschrift Fur Sozialwissenschaftliche Forschung Und Praxis,Soz Welt,0.256,,
Human Studies,Hum Stud,0.235,,
Sotsiologicheskie Issledovaniya,Sotsiol Issled+,0.189,,
Society,Society,0.188,,
Berliner Journal Fur Soziologie,Berl J Soziol,0.186,,
Drustvena Istrazivanja,Drus Istraz,0.177,,
Social Compass,Soc Compass,0.172,,
Sociologus,Sociologus,0.167,,
Convergencia-Revista De Ciencias Sociales,Convergencia,0.13,,
Journal Of The History Of Sexuality,J Hist Sexuality,0.121,,
Sociologisk Forskning,Sociol Forsknin,0.083,,
Polish Sociological Review,Pol Sociol Rev,0.073,,
Studies In Symbolic Interaction,Stud Symb Interact,0.064,,
Current Perspectives In Social Theory,Curr Perspect Soc Th,0.056,,
Deviance Et Societe,Deviance Soc,0.047,,
Tempo Social,Tempo Soc,0.042,,
Telos,Telos-Us,0.041,,
,,,,
,,,,
,,,,
,,,,
,,,,
