nfull,nabb,if
LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,8.145
SOIL BIOLOGY & BIOCHEMISTRY,SOIL BIOL BIOCHEM,4.152
EUROPEAN JOURNAL OF SOIL SCIENCE,EUR J SOIL SCI,3.425
BIOLOGY AND FERTILITY OF SOILS,BIOL FERT SOILS,3.069
PLANT AND SOIL,PLANT SOIL,2.969
GEODERMA,GEODERMA,2.855
SOIL & TILLAGE RESEARCH,SOIL TILL RES,2.709
APPLIED SOIL ECOLOGY,APPL SOIL ECOL,2.67
CATENA,CATENA,2.612
JOURNAL OF SOILS AND SEDIMENTS,J SOIL SEDIMENT,2.206
EUROPEAN JOURNAL OF SOIL BIOLOGY,EUR J SOIL BIOL,1.951
SOIL USE AND MANAGEMENT,SOIL USE MANAGE,1.823
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,J PLANT NUTR SOIL SC,1.816
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,1.752
SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,SOIL SCI SOC AM J,1.752
VADOSE ZONE JOURNAL,VADOSE ZONE J,1.737
Soil Research,SOIL RES,1.611
Journal of Soil Science and Plant Nutrition,J SOIL SCI PLANT NUT,1.6
PEDOBIOLOGIA,PEDOBIOLOGIA,1.535
PEDOSPHERE,PEDOSPHERE,1.535
NUTRIENT CYCLING IN AGROECOSYSTEMS,NUTR CYCL AGROECOSYS,1.49
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,1.222
CANADIAN JOURNAL OF SOIL SCIENCE,CAN J SOIL SCI,1.21
Archives of Agronomy and Soil Science,ARCH AGRON SOIL SCI,1.118
SOIL SCIENCE AND PLANT NUTRITION,SOIL SCI PLANT NUTR,0.954
ARID LAND RESEARCH AND MANAGEMENT,ARID LAND RES MANAG,0.746
EURASIAN SOIL SCIENCE,EURASIAN SOIL SCI+,0.74
SOIL SCIENCE,SOIL SCI,0.713
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0.649
REVISTA BRASILEIRA DE CIENCIA DO SOLO,REV BRAS CIENC SOLO,0.611
Soil and Water Research,SOIL WATER RES,0.58
COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,0.564
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,COMMUN SOIL SCI PLAN,0.529
AGROCHIMICA,AGROCHIMICA,0.317
