nfull,nabb,if
MASS SPECTROMETRY REVIEWS,MASS SPECTROM REV,9.346
Annual Review of Analytical Chemistry,ANNU REV ANAL CHEM,8
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,PROG NUCL MAG RES SP,7.231
APPLIED SPECTROSCOPY REVIEWS,APPL SPECTROSC REV,4.617
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,J ANAL APPL PYROL,3.652
JOURNAL OF BIOMOLECULAR NMR,J BIOMOL NMR,3.439
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,J ANAL ATOM SPECTROM,3.379
SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,SPECTROCHIM ACTA B,3.289
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,J AM SOC MASS SPECTR,3.031
NMR IN BIOMEDICINE,NMR BIOMED,2.983
JOURNAL OF MAGNETIC RESONANCE,J MAGN RESON,2.889
JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,J QUANT SPECTROSC RA,2.859
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,SPECTROCHIM ACTA A,2.653
JOURNAL OF MASS SPECTROMETRY,J MASS SPECTROM,2.541
JOURNAL OF RAMAN SPECTROSCOPY,J RAMAN SPECTROSC,2.395
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,2.25
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,RAPID COMMUN MASS SP,2.226
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,INT J MASS SPECTROM,2.183
Annual Reports on NMR Spectroscopy,ANNU REP NMR SPECTRO,2.129
Analytical Methods,ANAL METHODS-UK,1.915
APPLIED SPECTROSCOPY,APPL SPECTROSC,1.798
VIBRATIONAL SPECTROSCOPY,VIB SPECTROSC,1.682
ATOMIC SPECTROSCOPY,ATOM SPECTROSC,1.6
JOURNAL OF MOLECULAR SPECTROSCOPY,J MOL SPECTROSC,1.593
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,J ELECTRON SPECTROSC,1.561
JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,1.533
MAGNETIC RESONANCE IN CHEMISTRY,MAGN RESON CHEM,1.226
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,NUCL INSTRUM METH A,1.2
X-RAY SPECTROMETRY,X-RAY SPECTROM,1.173
JOURNAL OF NEAR INFRARED SPECTROSCOPY,J NEAR INFRARED SPEC,1.117
EUROPEAN JOURNAL OF MASS SPECTROMETRY,EUR J MASS SPECTROM,1.011
SPECTROSCOPY LETTERS,SPECTROSC LETT,0.885
APPLIED MAGNETIC RESONANCE,APPL MAGN RESON,0.884
Journal of Spectroscopy,J SPECTROSC,0.814
Biomolecular NMR Assignments,BIOMOL NMR ASSIGN,0.687
OPTICS AND SPECTROSCOPY,OPT SPECTROSC+,0.644
CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,CONCEPT MAGN RESON B,0.593
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,J CHEM CRYSTALLOGR,0.572
CONCEPTS IN MAGNETIC RESONANCE PART A,CONCEPT MAGN RESON A,0.526
Journal of Applied Spectroscopy,J APPL SPECTROSC+,0.51
SPECTROSCOPY,SPECTROSCOPY-US,0.482
STUDIES IN CONSERVATION,STUD CONSERV,0.323
SPECTROSCOPY AND SPECTRAL ANALYSIS,SPECTROSC SPECT ANAL,0.275
