nfull,nabb,if
BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,6.724
SPORTS MEDICINE,SPORTS MED,5.579
AMERICAN JOURNAL OF SPORTS MEDICINE,AM J SPORT MED,4.517
EXERCISE AND SPORT SCIENCES REVIEWS,EXERC SPORT SCI REV,4.451
EXERCISE IMMUNOLOGY REVIEW,EXERC IMMUNOL REV,4.294
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,MED SCI SPORT EXER,4.041
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,J SCI MED SPORT,3.756
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURG SPORT TR A,3.097
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCH PHYS MED REHAB,3.045
International Journal of Sports Physiology and Performance,INT J SPORT PHYSIOL,3.042
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,SCAND J MED SCI SPOR,3.025
JOURNAL OF APPLIED PHYSIOLOGY,J APPL PHYSIOL,3.004
PSYCHOLOGY OF SPORT AND EXERCISE,PSYCHOL SPORT EXERC,2.605
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,J ORTHOP SPORT PHYS,2.551
INTERNATIONAL JOURNAL OF SPORTS MEDICINE,INT J SPORTS MED,2.528
JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,2.412
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,J SPORT EXERCISE PSY,2.379
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,EUR J APPL PHYSIOL,2.328
CLINICAL JOURNAL OF SPORT MEDICINE,CLIN J SPORT MED,2.308
GAIT & POSTURE,GAIT POSTURE,2.286
JOURNAL OF ATHLETIC TRAINING,J ATHL TRAINING,2.224
JOURNAL OF SPORTS SCIENCES,J SPORT SCI,2.142
INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,INT J SPORT NUTR EXE,2.105
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AM J PHYS MED REHAB,2.064
