nfull,nabb,if
STATISTICAL METHODS IN MEDICAL RESEARCH,STAT METHODS MED RES,4.634
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,J R STAT SOC B,4.222
ECONOMETRICA,ECONOMETRICA,4.053
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STAT PSY,3.698
Annual Review of Statistics and Its Application,ANNU REV STAT APPL,3.045
ANNALS OF STATISTICS,ANN STAT,2.78
Journal of Statistical Software,J STAT SOFTW,2.379
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,STOCH ENV RES RISK A,2.237
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,2.217
STATISTICAL SCIENCE,STAT SCI,2.213
PROBABILITY THEORY AND RELATED FIELDS,PROBAB THEORY REL,2.204
FINANCE AND STOCHASTICS,FINANC STOCH,2.169
BIOSTATISTICS,BIOSTATISTICS,2.109
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,2.098
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,1.873
Econometric Reviews,ECONOMET REV,1.817
INTERNATIONAL STATISTICAL REVIEW,INT STAT REV,1.789
STATISTICS AND COMPUTING,STAT COMPUT,1.786
ANNALS OF APPLIED PROBABILITY,ANN APPL PROBAB,1.755
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,J COMPUT GRAPH STAT,1.755
ANNALS OF PROBABILITY,ANN PROBAB,1.734
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,J AM STAT ASSOC,1.725
Advances in Data Analysis and Classification,ADV DATA ANAL CLASSI,1.707
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,J R STAT SOC A STAT,1.702
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,1.648
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,1.609
Scandinavian Actuarial Journal,SCAND ACTUAR J,1.596
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVAR BEHAV RES,1.551
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1.537
STATISTICS IN MEDICINE,STAT MED,1.533
TECHNOMETRICS,TECHNOMETRICS,1.435
Annals of Applied Statistics,ANN APPL STAT,1.432
Extremes,EXTREMES,1.4
Spatial Statistics,SPAT STAT-NETH,1.385
INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,1.378
BERNOULLI,BERNOULLI,1.372
BIOMETRICS,BIOMETRICS,1.36
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,J R STAT SOC C-APPL,1.354
OPEN SYSTEMS & INFORMATION DYNAMICS,OPEN SYST INF DYN,1.306
Stata Journal,STATA J,1.292
Statistical Applications in Genetics and Molecular Biology,STAT APPL GENET MOL,1.265
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD B ECON STAT,1.247
PROBABILISTIC ENGINEERING MECHANICS,PROBABILIST ENG MECH,1.241
PHARMACEUTICAL STATISTICS,PHARM STAT,1.235
AMERICAN STATISTICIAN,AM STAT,1.215
TEST,TEST-SPAIN,1.207
STOCHASTIC PROCESSES AND THEIR APPLICATIONS,STOCH PROC APPL,1.193
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,1.179
ECONOMETRIC THEORY,ECONOMET THEOR,1.162
ENVIRONMETRICS,ENVIRONMETRICS,1.16
BIOMETRIKA,BIOMETRIKA,1.13
Econometrics Journal,ECONOMET J,1.116
Bayesian Analysis,BAYESIAN ANAL,1.087
AStA-Advances in Statistical Analysis,ASTA-ADV STAT ANAL,1.053
R Journal,R J,1.045
JOURNAL OF TIME SERIES ANALYSIS,J TIME SER ANAL,1
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,ANN I H POINCARE-PR,0.938
STATISTICAL MODELLING,STAT MODEL,0.932
SCANDINAVIAN JOURNAL OF STATISTICS,SCAND J STAT,0.908
Quality Engineering,QUAL ENG,0.883
Journal of Biopharmaceutical Statistics,J BIOPHARM STAT,0.882
QUALITY & QUANTITY,QUAL QUANT,0.867
JOURNAL OF MULTIVARIATE ANALYSIS,J MULTIVARIATE ANAL,0.857
ELECTRONIC JOURNAL OF PROBABILITY,ELECTRON J PROBAB,0.852
STATISTICA SINICA,STAT SINICA,0.838
LIFETIME DATA ANALYSIS,LIFETIME DATA ANAL,0.81
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,J AGR BIOL ENVIR ST,0.79
METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,METHODOL COMPUT APPL,0.782
STATISTICAL PAPERS,STAT PAP,0.781
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,ENVIRON ECOL STAT,0.769
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,ANN I STAT MATH,0.768
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,J STAT COMPUT SIM,0.749
Electronic Journal of Statistics,ELECTRON J STAT,0.736
Astin Bulletin,ASTIN BULL,0.732
JOURNAL OF STATISTICAL PLANNING AND INFERENCE,J STAT PLAN INFER,0.727
BIOMETRICAL JOURNAL,BIOMETRICAL J,0.683
INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,INFIN DIMENS ANAL QU,0.682
Statistics in Biopharmaceutical Research,STAT BIOPHARM RES,0.672
International Journal of Biostatistics,INT J BIOSTAT,0.667
JOURNAL OF APPLIED PROBABILITY,J APPL PROBAB,0.665
ADVANCES IN APPLIED PROBABILITY,ADV APPL PROBAB,0.654
Stochastics and Dynamics,STOCH DYNAM,0.644
STOCHASTIC ANALYSIS AND APPLICATIONS,STOCH ANAL APPL,0.63
Stochastics-An International Journal of Probability and Stochastic Reports,STOCHASTICS,0.63
COMBINATORICS PROBABILITY & COMPUTING,COMB PROBAB COMPUT,0.627
Quality Technology and Quantitative Management,QUAL TECHNOL QUANT M,0.627
Statistical Methodology,STAT METHODOL,0.604
ESAIM-Probability and Statistics,ESAIM-PROBAB STAT,0.6
METRIKA,METRIKA,0.595
LAW PROBABILITY & RISK,LAW PROBAB RISK,0.594
INTERNATIONAL JOURNAL OF GAME THEORY,INT J GAME THEORY,0.577
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,APPL STOCH MODEL BUS,0.574
Statistical Analysis and Data Mining,STAT ANAL DATA MIN,0.574
ALEA-Latin American Journal of Probability and Mathematical Statistics,ALEA-LAT AM J PROBAB,0.55
Sequential Analysis-Design Methods and Applications,SEQUENTIAL ANAL,0.544
STATISTICS,STATISTICS-ABINGDON,0.53
COMPUTATIONAL STATISTICS,COMPUTATION STAT,0.52
STATISTICS & PROBABILITY LETTERS,STAT PROBABIL LETT,0.506
Markov Processes and Related Fields,MARKOV PROCESS RELAT,0.484
ELECTRONIC COMMUNICATIONS IN PROBABILITY,ELECTRON COMMUN PROB,0.467
Journal of Official Statistics,J OFF STAT,0.467
JOURNAL OF THEORETICAL PROBABILITY,J THEOR PROBAB,0.466
JOURNAL OF NONPARAMETRIC STATISTICS,J NONPARAMETR STAT,0.446
Mathematical Population Studies,MATH POPUL STUD,0.444
STATISTICA NEERLANDICA,STAT NEERL,0.432
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,AUST NZ J STAT,0.431
Brazilian Journal of Probability and Statistics,BRAZ J PROBAB STAT,0.42
JOURNAL OF APPLIED STATISTICS,J APPL STAT,0.419
REVSTAT-Statistical Journal,REVSTAT-STAT J,0.419
SORT-Statistics and Operations Research Transactions,SORT-STAT OPER RES T,0.414
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,CAN J STAT,0.413
THEORY OF PROBABILITY AND ITS APPLICATIONS,THEOR PROBAB APPL+,0.408
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,COMMUN STAT-SIMUL C,0.397
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,PROBAB ENG INFORM SC,0.39
