nfull,nabb,if
Addiction,Addiction,4.972
Nicotine & Tobacco Research,Nicotine Tob Res,3.811
Alcohol Research-Current Reviews,Alcohol Res-Curr Rev,3.528
Drug And Alcohol Dependence,Drug Alcohol Depen,3.349
International Journal Of Drug Policy,Int J Drug Policy,3.119
Addictive Behaviors,Addict Behav,2.795
Psychology Of Addictive Behaviors,Psychol Addict Behav,2.78
Journal Of Gambling Studies,J Gambl Stud,2.75
Alcohol And Alcoholism,Alcohol Alcoholism,2.724
Harm Reduction Journal,Harm Reduct J,2.635
Substance Abuse,Subst Abus,2.576
Journal Of Substance Abuse Treatment,J Subst Abuse Treat,2.465
Drug And Alcohol Review,Drug Alcohol Rev,2.405
European Addiction Research,Eur Addict Res,2.367
Journal Of Studies On Alcohol And Drugs,J Stud Alcohol Drugs,2.197
Tobacco Induced Diseases,Tob Induc Dis,1.938
American Journal Of Drug And Alcohol Abuse,Am J Drug Alcohol Ab,1.828
Journal Of Addictive Diseases,J Addict Dis,1.781
Adicciones,Adicciones,1.78
Journal Of Psychoactive Drugs,J Psychoactive Drugs,1.775
American Journal On Addictions,Am J Addiction,1.773
Substance Abuse Treatment Prevention And Policy,Subst Abuse Treat Pr,1.713
Addiction Research & Theory,Addict Res Theory,1.252
International Gambling Studies,Int Gambl Stud,1.23
Substance Use & Misuse,Subst Use Misuse,1.133
Journal Of Drug Issues,J Drug Issues,1.086
International Journal Of Mental Health And Addiction,Int J Ment Health Ad,1.018
Journal Of Substance Use,J Subst Use,0.893
Journal Of Dual Diagnosis,J Dual Diagn,0.839
Nordic Studies On Alcohol And Drugs,Nord Stud Alcohol Dr,0.768
Drugs-Education Prevention And Policy,Drug-Educ Prev Polic,0.762
Heroin Addiction And Related Clinical Problems,Heroin Addict Rel Cl,0.579
Journal Of Addictions Nursing,J Addict Nurs,0.48
Journal Of Child & Adolescent Substance Abuse,J Child Adoles Subst,0.437
,,
,,
