nfull,nabb,if
ANNALS OF SURGERY,ANN SURG,8.569
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,7.509
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,6.431
AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,5.669
JAMA Surgery,JAMA SURG,5.661
ENDOSCOPY,ENDOSCOPY,5.634
BRITISH JOURNAL OF SURGERY,BRIT J SURG,5.596
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,J BONE JOINT SURG AM,5.163
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,AM J SURG PATHOL,4.951
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,J AM COLL SURGEONS,4.257
LIVER TRANSPLANTATION,LIVER TRANSPLANT,3.951
NEUROSURGERY,NEUROSURGERY,3.78
DISEASES OF THE COLON & RECTUM,DIS COLON RECTUM,3.739
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,3.724
TRANSPLANTATION,TRANSPLANTATION,3.69
ANNALS OF SURGICAL ONCOLOGY,ANN SURG ONCOL,3.655
SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,SURG ENDOSC,3.54
Surgery for Obesity and Related Diseases,SURG OBES RELAT DIS,3.54
SURGICAL ONCOLOGY-OXFORD,SURG ONCOL,3.514
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,3.494
JOURNAL OF VASCULAR SURGERY,J VASC SURG,3.454
JOURNAL OF NEUROSURGERY,J NEUROSURG,3.443
OBESITY SURGERY,OBES SURG,3.346
JOURNAL OF REFRACTIVE SURGERY,J REFRACT SURG,3.314
SURGERY,SURGERY,3.309
JOURNAL OF SURGICAL ONCOLOGY,J SURG ONCOL,3.151
Journal of Hepato-Biliary-Pancreatic Sciences,J HEPATO-BIL-PAN SCI,3.146
JOURNAL OF ENDOVASCULAR THERAPY,J ENDOVASC THER,3.128
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLIN ORTHOP RELAT R,3.127
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURG SPORT TR A,3.097
PLASTIC AND RECONSTRUCTIVE SURGERY,PLAST RECONSTR SURG,3.087
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,J AM ACAD ORTHOP SUR,3.055
SHOCK,SHOCK,3.048
ANNALS OF THORACIC SURGERY,ANN THORAC SURG,3.021
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,J CATARACT REFR SURG,3.02
Journal of NeuroInterventional Surgery,J NEUROINTERV SURG,2.959
EJSO,EJSO-EUR J SURG ONC,2.94
HPB,HPB,2.918
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,EUR J VASC ENDOVASC,2.912
TRANSPLANT INTERNATIONAL,TRANSPL INT,2.835
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,2.828
JOURNAL OF GASTROINTESTINAL SURGERY,J GASTROINTEST SURG,2.807
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,EUR J CARDIO-THORAC,2.803
Journal of Trauma and Acute Care Surgery,J TRAUMA ACUTE CARE,2.802
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,HEAD NECK-J SCI SPEC,2.76
Digestive Endoscopy,DIGEST ENDOSC,2.715
JAMA Otolaryngology-Head & Neck Surgery,JAMA OTOLARYNGOL,2.705
World Neurosurgery,WORLD NEUROSURG,2.685
Bone & Joint Journal,BONE JOINT J,2.66
WOUND REPAIR AND REGENERATION,WOUND REPAIR REGEN,2.628
International Wound Journal,INT WOUND J,2.594
Neurosurgical Focus,NEUROSURG FOCUS,2.546
WORLD JOURNAL OF SURGERY,WORLD J SURG,2.523
Aesthetic Surgery Journal,AESTHET SURG J,2.502
LASERS IN MEDICAL SCIENCE,LASER MED SCI,2.461
Colorectal Disease,COLORECTAL DIS,2.452
JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,2.412
AMERICAN JOURNAL OF SURGERY,AM J SURG,2.403
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,INT J COLORECTAL DIS,2.383
Techniques in Coloproctology,TECH COLOPROCTOL,2.32
JOURNAL OF SURGICAL RESEARCH,J SURG RES,2.198
NEUROSURGICAL REVIEW,NEUROSURG REV,2.166
LANGENBECKS ARCHIVES OF SURGERY,LANGENBECK ARCH SURG,2.149
LASERS IN SURGERY AND MEDICINE,LASER SURG MED,2.135
JOURNAL OF NEUROSURGERY-SPINE,J NEUROSURG-SPINE,2.126
SURGICAL CLINICS OF NORTH AMERICA,SURG CLIN N AM,2.068
Hernia,HERNIA,2.054
MICROSURGERY,MICROSURG,2.054
