nfull,nabb,if
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,9.22
IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,5.125
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,4.148
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,3.672
Internet Research,INTERNET RES,3.017
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE T WIREL COMMUN,2.925
IEEE NETWORK,IEEE NETWORK,2.899
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,2.783
JOURNAL OF LIGHTWAVE TECHNOLOGY,J LIGHTWAVE TECHNOL,2.567
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,2.536
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,2.456
IEEE TRANSACTIONS ON BROADCASTING,IEEE T BROADCAST,2.381
IEEE TRANSACTIONS ON COMMUNICATIONS,IEEE T COMMUN,2.298
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE T VEH TECHNOL,2.243
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,2.186
Journal of Optical Communications and Networking,J OPT COMMUN NETW,2.183
IEEE Systems Journal,IEEE SYST J,2.114
COMPUTER COMMUNICATIONS,COMPUT COMMUN,2.099
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,IEEE T ANTENN PROPAG,2.053
IEEE MICROWAVE MAGAZINE,IEEE MICROW MAG,1.975
IEEE PERVASIVE COMPUTING,IEEE PERVAS COMPUT,1.836
IEEE Antennas and Wireless Propagation Letters,IEEE ANTENN WIREL PR,1.751
Pervasive and Mobile Computing,PERVASIVE MOB COMPUT,1.719
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,1.672
Ad Hoc Networks,AD HOC NETW,1.66
OPTICAL FIBER TECHNOLOGY,OPT FIBER TECHNOL,1.6
MOBILE NETWORKS & APPLICATIONS,MOBILE NETW APPL,1.538
Personal and Ubiquitous Computing,PERS UBIQUIT COMPUT,1.498
Mobile Information Systems,MOB INF SYST,1.462
