nfull,nabb,if
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,16.784
ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,4.801
ENERGY,ENERGY,4.292
COMBUSTION AND FLAME,COMBUST FLAME,4.168
PROCEEDINGS OF THE COMBUSTION INSTITUTE,P COMBUST INST,4.12
APPLIED THERMAL ENGINEERING,APPL THERM ENG,3.043
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,2.857
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,INT J THERM SCI,2.769
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,INT COMMUN HEAT MASS,2.559
Nanoscale and Microscale Thermophysical Engineering,NANOSC MICROSC THERM,2.39
INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,INT J REFRIG,2.291
COMBUSTION THEORY AND MODELLING,COMBUST THEOR MODEL,2.23
JOURNAL OF CHEMICAL THERMODYNAMICS,J CHEM THERMODYN,2.196
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,CALPHAD,2.129
EXPERIMENTAL THERMAL AND FLUID SCIENCE,EXP THERM FLUID SCI,2.128
THERMOCHIMICA ACTA,THERMOCHIM ACTA,1.938
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,NUMER HEAT TR A-APPL,1.937
FLOW TURBULENCE AND COMBUSTION,FLOW TURBUL COMBUST,1.863
CONTINUUM MECHANICS AND THERMODYNAMICS,CONTINUUM MECH THERM,1.849
FLUID PHASE EQUILIBRIA,FLUID PHASE EQUILIBR,1.846
JOURNAL OF CHEMICAL AND ENGINEERING DATA,J CHEM ENG DATA,1.835
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,J THERM ANAL CALORIM,1.781
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,INT J HEAT FLUID FL,1.737
JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,J HEAT TRANS-T ASME,1.723
International Journal of Green Energy,INT J GREEN ENERGY,1.601
International Journal of Engine Research,INT J ENGINE RES,1.479
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,INT J NUMER METHOD H,1.475
Building Simulation,BUILD SIMUL-CHINA,1.409
International Journal of Exergy,INT J EXERGY,1.377
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,NUMER HEAT TR B-FUND,1.33
EXPERIMENTAL HEAT TRANSFER,EXP HEAT TRANSFER,1.288
JOURNAL OF THERMAL STRESSES,J THERM STRESSES,1.211
COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,1.193
HEAT AND MASS TRANSFER,HEAT MASS TRANSFER,1.044
JOURNAL OF POROUS MEDIA,J POROUS MEDIA,1.035
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,J THERMOPHYS HEAT TR,1.035
CRYOGENICS,CRYOGENICS,1.026
HEAT TRANSFER ENGINEERING,HEAT TRANSFER ENG,1.016
INTERNATIONAL JOURNAL OF THERMOPHYSICS,INT J THERMOPHYS,0.946
Thermal Science,THERM SCI,0.939
HEAT TRANSFER RESEARCH,HEAT TRANSF RES,0.93
Journal of Applied Fluid Mechanics,J APPL FLUID MECH,0.888
HVAC&R RESEARCH,HVAC&R RES,0.871
Journal of Engineering Thermophysics,J ENG THERMOPHYS-RUS,0.812
Journal of Thermal Science and Engineering Applications,J THERM SCI ENG APPL,0.809
International Journal of Spray and Combustion Dynamics,INT J SPRAY COMBUST,0.767
MICROGRAVITY SCIENCE AND TECHNOLOGY,MICROGRAVITY SCI TEC,0.725
Advances in Mechanical Engineering,ADV MECH ENG,0.64
Journal of Thermal Science and Technology,J THERM SCI TECH-JPN,0.611
COMBUSTION EXPLOSION AND SHOCK WAVES,COMBUST EXPLO SHOCK+,0.604
JOURNAL OF ENHANCED HEAT TRANSFER,J ENHANC HEAT TRANSF,0.562
Journal of Thermal Science,J THERM SCI,0.543
HIGH TEMPERATURES-HIGH PRESSURES,HIGH TEMP-HIGH PRESS,0.522
Thermophysics and Aeromechanics,THERMOPHYS AEROMECH+,0.365
PROGRESS IN COMPUTATIONAL FLUID DYNAMICS,PROG COMPUT FLUID DY,0.288
ASHRAE JOURNAL,ASHRAE J,0.223
ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,ISI BILIM TEK DERG,0.188
Science and Technology for the Built Environment,SCI TECHNOL BUILT EN,Not Available
