nfull,nabb,if
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,14.769
Particle and Fibre Toxicology,PART FIBRE TOXICOL,8.649
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,8.443
Nanotoxicology,NANOTOXICOLOGY,7.913
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,6.637
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,5.552
CRITICAL REVIEWS IN TOXICOLOGY,CRIT REV TOXICOL,5.422
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,5.261
DRUGS,DRUGS,4.883
DNA REPAIR,DNA REPAIR,3.929
TOXICOLOGICAL SCIENCES,TOXICOL SCI,3.88
TOXICOLOGY AND APPLIED PHARMACOLOGY,TOXICOL APPL PHARM,3.847
TOXICOLOGY,TOXICOLOGY,3.817
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,J ENVIRON SCI HEAL C,3.667
FOOD AND CHEMICAL TOXICOLOGY,FOOD CHEM TOXICOL,3.584
Toxins,TOXINS,3.571
AQUATIC TOXICOLOGY,AQUAT TOXICOL,3.557
TOXICOLOGY LETTERS,TOXICOL LETT,3.522
TOXICOLOGY IN VITRO,TOXICOL IN VITRO,3.338
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,ENVIRON MOL MUTAGEN,3.326
DRUG SAFETY,DRUG SAFETY,3.206
Journal of Exposure Science and Environmental Epidemiology,J EXPO SCI ENV EPID,3.141
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,3.13
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,BASIC CLIN PHARMACOL,3.097
CHEMICAL RESEARCH IN TOXICOLOGY,CHEM RES TOXICOL,3.025
CLINICAL TOXICOLOGY,CLIN TOXICOL,2.886
ENVIRONMENTAL TOXICOLOGY,ENVIRON TOXICOL,2.868
REPRODUCTIVE TOXICOLOGY,REPROD TOXICOL,2.85
CELL BIOLOGY AND TOXICOLOGY,CELL BIOL TOXICOL,2.842
MARINE ENVIRONMENTAL RESEARCH,MAR ENVIRON RES,2.769
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,ENVIRON TOXICOL CHEM,2.763
NEUROTOXICOLOGY,NEUROTOXICOLOGY,2.738
JOURNAL OF APPLIED TOXICOLOGY,J APPL TOXICOL,2.722
CHEMICO-BIOLOGICAL INTERACTIONS,CHEM-BIOL INTERACT,2.618
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,MUTAT RES-FUND MOL M,2.581
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,2.546
NEUROTOXICOLOGY AND TERATOLOGY,NEUROTOXICOL TERATOL,2.488
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,2.446
ALCOHOL,ALCOHOL,2.44
ECOTOXICOLOGY,ECOTOXICOLOGY,2.329
JOURNAL OF ANALYTICAL TOXICOLOGY,J ANAL TOXICOL,2.322
TOXICON,TOXICON,2.309
INFLAMMOPHARMACOLOGY,INFLAMMOPHARMACOLOGY,2.304
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,J BIOCHEM MOL TOXIC,2.303
MUTAGENESIS,MUTAGENESIS,2.297
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,MUTAT RES-GEN TOX EN,2.254
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,J TOXICOL ENV HEAL A,2.243
REGULATORY TOXICOLOGY AND PHARMACOLOGY,REGUL TOXICOL PHARM,2.227
TOXICOLOGIC PATHOLOGY,TOXICOL PATHOL,2.197
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,ENVIRON TOXICOL PHAR,2.187
Toxicology Research,TOXICOL RES-UK,2.161
JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,J PHARMACOL TOX MET,2.147
THERAPEUTIC DRUG MONITORING,THER DRUG MONIT,2.094
Cardiovascular Toxicology,CARDIOVASC TOXICOL,2.063
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,ARCH ENVIRON CON TOX,2.039
BMC Pharmacology & Toxicology,BMC PHARMACOL TOXICO,2.03
Journal of Immunotoxicology,J IMMUNOTOXICOL,2.02
BIOMARKERS,BIOMARKERS,2.016
INHALATION TOXICOLOGY,INHAL TOXICOL,2.012
Mycotoxin Research,MYCOTOXIN RES,2
BIRTH DEFECTS RESEARCH PART A-CLINICAL AND MOLECULAR TERATOLOGY,BIRTH DEFECTS RES A,1.954
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1.897
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,FOOD ADDIT CONTAM A,1.878
ANNALS OF OCCUPATIONAL HYGIENE,ANN OCCUP HYG,1.743
XENOBIOTICA,XENOBIOTICA,1.723
EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY,EXP TOXICOL PATHOL,1.716
TOXICOLOGY AND INDUSTRIAL HEALTH,TOXICOL IND HEALTH,1.688
DRUG AND CHEMICAL TOXICOLOGY,DRUG CHEM TOXICOL,1.653
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,IMMUNOPHARM IMMUNOT,1.617
HUMAN & EXPERIMENTAL TOXICOLOGY,HUM EXP TOXICOL,1.604
FOOD AND AGRICULTURAL IMMUNOLOGY,FOOD AGR IMMUNOL,1.548
Integrated Environmental Assessment and Management,INTEGR ENVIRON ASSES,1.53
JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,J VENOM ANIM TOXINS,1.488
TOXICOLOGY MECHANISMS AND METHODS,TOXICOL MECH METHOD,1.476
Food Additives & Contaminants Part B-Surveillance,FOOD ADDIT CONTAM B,1.467
JOURNAL OF ENVIRONMENTAL PATHOLOGY TOXICOLOGY AND ONCOLOGY,J ENVIRON PATHOL TOX,1.246
Molecular & Cellular Toxicology,MOL CELL TOXICOL,1.24
JOURNAL OF TOXICOLOGICAL SCIENCES,J TOXICOL SCI,1.224
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,B ENVIRON CONTAM TOX,1.191
Cutaneous and Ocular Toxicology,CUTAN OCUL TOXICOL,1.119
INTERNATIONAL JOURNAL OF TOXICOLOGY,INT J TOXICOL,1.077
INDUSTRIAL HEALTH,IND HEALTH,1.057
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,ARH HIG RADA TOKSIKO,0.971
BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY,BIRTH DEFECTS RES B,0.965
Toxin Reviews,TOXIN REV,0.857
Journal of Toxicologic Pathology,J TOXICOL PATHOL,0.848
FLUORIDE,FLUORIDE,0.797
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,TOXICOL ENVIRON CHEM,0.634
CHEMICAL SPECIATION AND BIOAVAILABILITY,CHEM SPEC BIOAVAILAB,0.457
Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene,J FOOD SAF FOOD QUAL,0.083
