nfull,nabb,if
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,7.509
AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,5.669
NEPHROLOGY DIALYSIS TRANSPLANTATION,NEPHROL DIAL TRANSPL,4.085
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,BIOL BLOOD MARROW TR,3.98
LIVER TRANSPLANTATION,LIVER TRANSPLANT,3.951
Transplantation Reviews,TRANSPLANT REV-ORLAN,3.915
XENOTRANSPLANTATION,XENOTRANSPLANTATION,3.789
STEM CELLS AND DEVELOPMENT,STEM CELLS DEV,3.777
TRANSPLANTATION,TRANSPLANTATION,3.69
BONE MARROW TRANSPLANTATION,BONE MARROW TRANSPL,3.636
CELL TRANSPLANTATION,CELL TRANSPLANT,3.427
TRANSPLANT INTERNATIONAL,TRANSPL INT,2.835
Current Opinion in Organ Transplantation,CURR OPIN ORGAN TRAN,2.68
ASAIO JOURNAL,ASAIO J,2.291
ARTIFICIAL ORGANS,ARTIF ORGANS,1.993
CLINICAL TRANSPLANTATION,CLIN TRANSPLANT,1.844
Transplant Infectious Disease,TRANSPL INFECT DIS,1.459
JOURNAL OF ARTIFICIAL ORGANS,J ARTIF ORGANS,1.438
TRANSPLANT IMMUNOLOGY,TRANSPL IMMUNOL,1.317
PEDIATRIC TRANSPLANTATION,PEDIATR TRANSPLANT,1.284
Annals of Transplantation,ANN TRANSPL,1.032
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,INT J ARTIF ORGANS,1.005
Progress in Transplantation,PROG TRANSPLANT,0.971
TRANSPLANTATION PROCEEDINGS,TRANSPL P,0.867
Experimental and Clinical Transplantation,EXP CLIN TRANSPLANT,0.603
