nfull,nabb,if,,
Transportation Research Part B-Methodological,Transport Res B-Meth,3.769,,
Transportation Science,Transport Sci,3.295,,
International Journal Of Sustainable Transportation,Int J Sustain Transp,3.209,,
Transportmetrica B-Transport Dynamics,Transportmetrica B,2.56,,
Transport Reviews,Transport Rev,2.452,,
Transportation Research Part E-Logistics And Transportation Review,Transport Res E-Log,2.279,,
Journal Of Transport Geography,J Transp Geogr,2.09,,
Accident Analysis And Prevention,Accident Anal Prev,2.07,,
Journal Of Transport & Health,J Transp Health,2.05,,
Transportation Research Part A-Policy And Practice,Transport Res A-Pol,1.994,,
Transportation Research Part D-Transport And Environment,Transport Res D-Tr E,1.864,,
Mobilities,Mobilities-Uk,1.569,,
Transportation,Transportation,1.545,,
Transport Policy,Transport Policy,1.522,,
Journal Of Safety Research,J Safety Res,1.504,,
International Journal Of Shipping And Transport Logistics,Int J Ship Trans Log,1.493,,
Transportmetrica A-Transport Science,Transportmetrica A,1.477,,
Transportation Research Part F-Traffic Psychology And Behaviour,Transport Res F-Traf,1.444,,
Maritime Policy & Management,Marit Policy Manag,1.22,,
Traffic Injury Prevention,Traffic Inj Prev,1.148,,
Journal Of Air Transport Management,J Air Transp Manag,1.084,,
Journal Of Transport Economics And Policy,J Transp Econ Policy,0.914,,
Maritime Economics & Logistics,Marit Econ Logist,0.773,,
Research In Transportation Economics,Res Transp Econ,0.75,,
European Journal Of Transport And Infrastructure Research,Eur J Transp Infrast,0.705,,
Journal Of Transport And Land Use,J Transp Land Use,0.689,,
Journal Of Public Transportation,J Public Transport,0.581,,
International Journal Of Transport Economics,Int J Transp Econ,0.5,,
Transportation Journal,Transport J,0.488,,
Transportation Letters-The International Journal Of Transportation Research,Transp Lett,0.405,,
Road & Transport Research,Road Transp Res,0.067,,
,,,,
,,,,
,,,,
,,,,
