nfull,nabb,if
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,5.288
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,TRANSPORT RES C-EMER,3.075
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,2.783
Transportmetrica B-Transport Dynamics,TRANSPORTMETRICA B,2.56
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE T INTELL TRANSP,2.534
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE T VEH TECHNOL,2.243
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,1.994
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,1.864
Journal of Intelligent Transportation Systems,J INTELL TRANSPORT S,1.565
IEEE Intelligent Transportation Systems Magazine,IEEE INTEL TRANSP SY,1.547
TRANSPORTATION,TRANSPORTATION,1.545
International Journal of Engine Research,INT J ENGINE RES,1.479
Transportmetrica A-Transport Science,TRANSPORTMETRICA A,1.477
JOURNAL OF ADVANCED TRANSPORTATION,J ADV TRANSPORT,1.292
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,P I MECH ENG F-J RAI,0.9
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,INT J AUTO TECH-KOR,0.876
IET Intelligent Transport Systems,IET INTELL TRANSP SY,0.843
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,P I MECH ENG D-J AUT,0.802
JOURNAL OF TRANSPORTATION ENGINEERING,J TRANSP ENG,0.801
INTERNATIONAL JOURNAL OF VEHICLE DESIGN,INT J VEHICLE DES,0.757
TRANSPORTATION PLANNING AND TECHNOLOGY,TRANSPORT PLAN TECHN,0.706
European Transport Research Review,EUR TRANSP RES REV,0.672
Transport,TRANSPORT-VILNIUS,0.594
TRANSPORTATION RESEARCH RECORD,TRANSPORT RES REC,0.522
Promet-Traffic & Transportation,PROMET-ZAGREB,0.509
Transportation Letters-The International Journal of Transportation Research,TRANSP LETT,0.405
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,P I CIVIL ENG-TRANSP,0.314
International Journal of Heavy Vehicle Systems,INT J HEAVY VEH SYST,0.195
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,ITE J,0.174
