nfull,nabb,if
PLoS Neglected Tropical Diseases,PLOS NEGLECT TROP D,3.948
MALARIA JOURNAL,MALARIA J,3.079
TROPICAL MEDICINE & INTERNATIONAL HEALTH,TROP MED INT HEALTH,2.519
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,AM J TROP MED HYG,2.453
ACTA TROPICA,ACTA TROP,2.38
MEMORIAS DO INSTITUTO OSWALDO CRUZ,MEM I OSWALDO CRUZ,1.789
TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,T ROY SOC TROP MED H,1.631
JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,J VENOM ANIM TOXINS,1.488
Pathogens and Global Health,PATHOG GLOB HEALTH,1.486
REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,REV INST MED TROP SP,1.114
JOURNAL OF TROPICAL PEDIATRICS,J TROP PEDIATRICS,1.059
Revista da Sociedade Brasileira de Medicina Tropical,REV SOC BRAS MED TRO,0.949
JOURNAL OF VECTOR BORNE DISEASES,J VECTOR DIS,0.872
Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,0.841
LEPROSY REVIEW,LEPROSY REV,0.831
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,0.773
TROPICAL BIOMEDICINE,TROP BIOMED,0.685
Biomedica,BIOMEDICA,0.587
TROPICAL DOCTOR,TROP DOCT,0.347
