nfull,nabb,if
EUROPEAN UROLOGY,EUR UROL,14.976
Nature Reviews Nephrology,NAT REV NEPHROL,9.463
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,8.491
KIDNEY INTERNATIONAL,KIDNEY INT,7.683
Kidney International Supplements,KIDNEY INT SUPPL,7.026
AMERICAN JOURNAL OF KIDNEY DISEASES,AM J KIDNEY DIS,6.269
Nature Reviews Urology,NAT REV UROL,5.957
JOURNAL OF UROLOGY,J UROLOGY,4.7
Clinical Journal of the American Society of Nephrology,CLIN J AM SOC NEPHRO,4.657
BJU INTERNATIONAL,BJU INT,4.387
NEPHROLOGY DIALYSIS TRANSPLANTATION,NEPHROL DIAL TRANSPL,4.085
PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,3.803
PROSTATE,PROSTATE,3.778
SEMINARS IN NEPHROLOGY,SEMIN NEPHROL,3.773
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,AM J PHYSIOL-RENAL,3.39
EUROPEAN UROLOGY SUPPLEMENTS,EUR UROL SUPPL,3.364
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,CURR OPIN NEPHROL HY,3.232
NEUROUROLOGY AND URODYNAMICS,NEUROUROL URODYNAM,3.128
UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,UROL ONCOL-SEMIN ORI,2.921
KIDNEY & BLOOD PRESSURE RESEARCH,KIDNEY BLOOD PRESS R,2.908
Journal of Sexual Medicine,J SEX MED,2.844
ADVANCES IN CHRONIC KIDNEY DISEASE,ADV CHRONIC KIDNEY D,2.703
ASIAN JOURNAL OF ANDROLOGY,ASIAN J ANDROL,2.644
AMERICAN JOURNAL OF NEPHROLOGY,AM J NEPHROL,2.605
Clinical Genitourinary Cancer,CLIN GENITOURIN CANC,2.599
Contributions to Nephrology,CONTRIB NEPHROL,2.438
WORLD JOURNAL OF UROLOGY,WORLD J UROL,2.397
PEDIATRIC NEPHROLOGY,PEDIATR NEPHROL,2.338
BMC Nephrology,BMC NEPHROL,2.289
UROLOGY,UROLOGY,2.187
JOURNAL OF ENDOUROLOGY,J ENDOUROL,2.107
JOURNAL OF RENAL NUTRITION,J RENAL NUTR,2.06
CURRENT OPINION IN UROLOGY,CURR OPIN UROL,2.006
Clinical and Experimental Nephrology,CLIN EXP NEPHROL,1.945
SEMINARS IN DIALYSIS,SEMIN DIALYSIS,1.912
INTERNATIONAL JOURNAL OF UROLOGY,INT J UROL,1.878
UROLOGIC CLINICS OF NORTH AMERICA,UROL CLIN N AM,1.835
INTERNATIONAL UROGYNECOLOGY JOURNAL,INT UROGYNECOL J,1.834
NEPHROLOGY,NEPHROLOGY,1.796
CardioRenal Medicine,CARDIORENAL MED,1.695
BMC Urology,BMC UROL,1.606
Current Urology Reports,CURR UROL REP,1.597
NEPHRON PHYSIOLOGY,NEPHRON PHYSIOL,1.562
NEPHRON EXPERIMENTAL NEPHROLOGY,NEPHRON EXP NEPHROL,1.531
Hemodialysis International,HEMODIAL INT,1.495
Aging Male,AGING MALE,1.493
THERAPEUTIC APHERESIS AND DIALYSIS,THER APHER DIAL,1.477
NEPHRON CLINICAL PRACTICE,NEPHRON CLIN PRACT,1.471
Urolithiasis,UROLITHIASIS,1.454
BLOOD PURIFICATION,BLOOD PURIFICAT,1.404
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,INT J IMPOT RES,1.396
JOURNAL OF NEPHROLOGY,J NEPHROL,1.352
Scandinavian Journal of Urology,SCAND J UROL,1.346
International Neurourology Journal,INT NEUROUROL J,1.344
UROLOGIA INTERNATIONALIS,UROL INT,1.313
PERITONEAL DIALYSIS INTERNATIONAL,PERITON DIALYSIS INT,1.298
INTERNATIONAL UROLOGY AND NEPHROLOGY,INT UROL NEPHROL,1.292
NEFROLOGIA,NEFROLOGIA,1.207
Journal of Pediatric Urology,J PEDIATR UROL,1.17
Iranian Journal of Kidney Diseases,IRAN J KIDNEY DIS,1.14
Canadian Journal of Urology,CAN J UROL,1.066
CLINICAL NEPHROLOGY,CLIN NEPHROL,1.065
Actas Urologicas Espanolas,ACTAS UROL ESP,0.964
RENAL FAILURE,RENAL FAILURE,0.875
International Braz J Urol,INT BRAZ J UROL,0.871
CUAJ-Canadian Urological Association Journal,CUAJ-CAN UROL ASSOC,0.866
Urology Journal,UROL J,0.737
Nephrology Nursing Journal,NEPHROL NURS J,0.734
PROGRES EN UROLOGIE,PROG UROL,0.562
Nephrologie & Therapeutique,NEPHROL THER,0.541
Minerva Urologica E Nefrologica,MINERVA UROL NEFROL,0.536
UROLOGE,UROLOGE,0.331
ARCHIVOS ESPANOLES DE UROLOGIA,ARCH ESP UROL,0.307
LUTS-Lower Urinary Tract Symptoms,LUTS,0.231
AKTUELLE UROLOGIE,AKTUEL UROL,0.215
Revista de Nefrologia Dialisis y Trasplante,REV NEFROL DIAL TRAS,0
NEPHRON,NEPHRON,Not Available
