nfull,nabb,if
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,4.348
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,3.025
VETERINARY RESEARCH,VET RES,2.928
Transboundary and Emerging Diseases,TRANSBOUND EMERG DIS,2.714
MEDICAL MYCOLOGY,MED MYCOL,2.644
Zoonoses and Public Health,ZOONOSES PUBLIC HLTH,2.574
VETERINARY MICROBIOLOGY,VET MICROBIOL,2.564
EQUINE VETERINARY JOURNAL,EQUINE VET J,2.475
Veterinary and Comparative Oncology,VET COMP ONCOL,2.452
MEDICAL AND VETERINARY ENTOMOLOGY,MED VET ENTOMOL,2.242
VETERINARY PARASITOLOGY,VET PARASITOL,2.242
PREVENTIVE VETERINARY MEDICINE,PREV VET MED,2.182
VETERINARY PATHOLOGY,VET PATHOL,2.12
ILAR JOURNAL,ILAR J,2.077
Animal,ANIMAL,2.056
JOURNAL OF FISH DISEASES,J FISH DIS,2.053
COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,COMP IMMUNOL MICROB,1.943
THERIOGENOLOGY,THERIOGENOLOGY,1.838
JOURNAL OF VETERINARY INTERNAL MEDICINE,J VET INTERN MED,1.821
APPLIED ANIMAL BEHAVIOUR SCIENCE,APPL ANIM BEHAV SCI,1.795
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE,VET CLIN N AM-FOOD A,1.775
DISEASES OF AQUATIC ORGANISMS,DIS AQUAT ORGAN,1.77
VETERINARY RECORD,VET REC,1.741
VETERINARY OPHTHALMOLOGY,VET OPHTHALMOL,1.736
JOURNAL OF MEDICAL ENTOMOLOGY,J MED ENTOMOL,1.712
VETERINARY JOURNAL,VET J,1.68
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,VET IMMUNOL IMMUNOP,1.664
BMC Veterinary Research,BMC VET RES,1.643
VETERINARY DERMATOLOGY,VET DERMATOL,1.568
LABORATORY ANIMALS,LAB ANIM-UK,1.553
