nfull,nabb,if
Cell Host & Microbe,CELL HOST MICROBE,12.552
PLoS Pathogens,PLOS PATHOG,7.003
Current Opinion in Virology,CURR OPIN VIROL,5.313
ANTIVIRAL RESEARCH,ANTIVIR RES,4.909
JOURNAL OF VIROLOGY,J VIROL,4.606
AIDS,AIDS,4.407
REVIEWS IN MEDICAL VIROLOGY,REV MED VIROL,4.308
JOURNAL OF VIRAL HEPATITIS,J VIRAL HEPATITIS,4.179
Retrovirology,RETROVIROLOGY,3.989
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,INT J MED MICROBIOL,3.898
Annual Review of Virology,ANNU REV VIROL,3.345
VIROLOGY,VIROLOGY,3.2
JOURNAL OF GENERAL VIROLOGY,J GEN VIROL,3.192
Viruses-Basel,VIRUSES-BASEL,3.042
ANTIVIRAL THERAPY,ANTIVIR THER,2.916
JOURNAL OF CLINICAL VIROLOGY,J CLIN VIROL,2.647
JOURNAL OF NEUROVIROLOGY,J NEUROVIROL,2.569
VIRUS RESEARCH,VIRUS RES,2.526
Influenza and Other Respiratory Viruses,INFLUENZA OTHER RESP,2.378
Virology Journal,VIROL J,2.362
Food and Environmental Virology,FOOD ENVIRON VIROL,2.338
ARCHIVES OF VIROLOGY,ARCH VIROL,2.255
JOURNAL OF MEDICAL VIROLOGY,J MED VIROL,1.998
AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,1.949
INTERVIROLOGY,INTERVIROLOGY,1.822
CURRENT HIV RESEARCH,CURR HIV RES,1.562
VIRAL IMMUNOLOGY,VIRAL IMMUNOL,1.513
JOURNAL OF VIROLOGICAL METHODS,J VIROL METHODS,1.508
VIRUS GENES,VIRUS GENES,1.285
ACTA VIROLOGICA,ACTA VIROL,1.222
Future Virology,FUTURE VIROL,0.886
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,0.529
VIROLOGIE,VIROLOGIE,0.151
