nfull,nabb,if
WATER RESEARCH,WATER RES,5.991
DESALINATION,DESALINATION,4.412
ADVANCES IN WATER RESOURCES,ADV WATER RESOUR,4.349
HYDROLOGY AND EARTH SYSTEM SCIENCES,HYDROL EARTH SYST SC,3.99
WATER RESOURCES RESEARCH,WATER RESOUR RES,3.792
JOURNAL OF HYDROLOGY,J HYDROL,3.043
ENVIRONMENTAL TOXICOLOGY,ENVIRON TOXICOL,2.868
HYDROLOGICAL PROCESSES,HYDROL PROCESS,2.768
CATENA,CATENA,2.612
AGRICULTURAL WATER MANAGEMENT,AGR WATER MANAGE,2.603
JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,J WATER RES PLAN MAN,2.521
WATER RESOURCES MANAGEMENT,WATER RESOUR MANAG,2.437
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,2.415
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,NAT HAZARD EARTH SYS,2.277
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,STOCH ENV RES RISK A,2.237
HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,HYDROLOG SCI J,2.182
Geomatics Natural Hazards & Risk,GEOMAT NAT HAZ RISK,2.14
Ecohydrology,ECOHYDROLOGY,2.138
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,ENVIRON GEOCHEM HLTH,2.079
JOURNAL OF CONTAMINANT HYDROLOGY,J CONTAM HYDROL,2.063
HYDROGEOLOGY JOURNAL,HYDROGEOL J,2.028
RIVER RESEARCH AND APPLICATIONS,RIVER RES APPL,1.98
Journal of Hydro-environment Research,J HYDRO-ENVIRON RES,1.971
IRRIGATION SCIENCE,IRRIGATION SCI,1.948
Groundwater,GROUNDWATER,1.947
Hydrology Research,HYDROL RES,1.779
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,1.752
NATURAL HAZARDS,NAT HAZARDS,1.746
VADOSE ZONE JOURNAL,VADOSE ZONE J,1.737
CLEAN-Soil Air Water,CLEAN-SOIL AIR WATER,1.716
OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,1.696
Water Quality Exposure and Health,WATER QUAL EXPOS HEA,1.692
Water,WATER-SUI,1.687
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,J AM WATER RESOUR AS,1.659
WATER AIR AND SOIL POLLUTION,WATER AIR SOIL POLL,1.551
JOURNAL OF HYDROLOGIC ENGINEERING,J HYDROL ENG,1.53
Urban Water Journal,URBAN WATER J,1.478
JOURNAL OF HYDRAULIC RESEARCH,J HYDRAUL RES,1.471
Journal of Hydrology and Hydromechanics,J HYDROL HYDROMECH,1.469
INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,INT J WATER RESOUR D,1.463
WETLANDS ECOLOGY AND MANAGEMENT,WETL ECOL MANAG,1.407
ENVIRONMENTAL FLUID MECHANICS,ENVIRON FLUID MECH,1.394
International Journal of Sediment Research,INT J SEDIMENT RES,1.388
Journal of Flood Risk Management,J FLOOD RISK MANAG,1.377
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,1.364
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,1.316
PHYSICS AND CHEMISTRY OF THE EARTH,PHYS CHEM EARTH,1.297
Natural Hazards Review,NAT HAZARDS REV,1.293
JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,1.284
Desalination and Water Treatment,DESALIN WATER TREAT,1.272
International Journal of Disaster Risk Reduction,INT J DISAST RISK RE,1.242
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,1.18
LAKE AND RESERVOIR MANAGEMENT,LAKE RESERV MANAGE,1.1
WATER SCIENCE AND TECHNOLOGY,WATER SCI TECHNOL,1.064
WATER INTERNATIONAL,WATER INT,1.04
Canadian Water Resources Journal,CAN WATER RESOUR J,1.018
Water Policy,WATER POLICY,0.952
International Journal of Disaster Risk Science,INT J DISAST RISK SC,0.935
Journal of Pipeline Systems Engineering and Practice,J PIPELINE SYST ENG,0.896
WATER AND ENVIRONMENT JOURNAL,WATER ENVIRON J,0.895
Mine Water and the Environment,MINE WATER ENVIRON,0.864
WATER SA,WATER SA,0.851
GROUND WATER MONITORING AND REMEDIATION,GROUND WATER MONIT R,0.848
JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,J WATER SUPPLY RES T,0.807
Journal of Water Sanitation and Hygiene for Development,J WATER SANIT HYG DE,0.799
Journal of Water and Climate Change,J WATER CLIM CHANGE,0.775
WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,0.659
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,P I CIVIL ENG-WAT M,0.656
Soil and Water Research,SOIL WATER RES,0.58
IRRIGATION AND DRAINAGE,IRRIG DRAIN,0.565
Water Science and Technology-Water Supply,WATER SCI TECH-W SUP,0.532
WATER QUALITY RESEARCH JOURNAL OF CANADA,WATER QUAL RES J CAN,0.531
JOURNAL AMERICAN WATER WORKS ASSOCIATION,J AM WATER WORKS ASS,0.505
Grundwasser,GRUNDWASSER,0.436
CHINA OCEAN ENGINEERING,CHINA OCEAN ENG,0.435
Journal of Water Reuse and Desalination,J WATER REUSE DESAL,0.409
Membrane Water Treatment,MEMBR WATER TREAT,0.4
Hydrologie und Wasserbewirtschaftung,HYDROL WASSERBEWIRTS,0.39
Water Resources,WATER RESOUR+,0.31
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,P I CIVIL ENG-MAR EN,0.281
HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,HOUILLE BLANCHE,0.212
Engenharia Sanitaria e Ambiental,ENG SANIT AMBIENT,0.126
Tecnologia y Ciencias del Agua,TECNOL CIENC AGUA,0.108
WasserWirtschaft,WASSERWIRTSCHAFT,0.102
Environmental Science-Water Research & Technology,ENVIRON SCI-WAT RES,Not Available
