nfull,nabb,if
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,5.125
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,4.827
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,4.348
HYSTRIX-Italian Journal of Mammalogy,HYSTRIX,4.333
MAMMAL REVIEW,MAMMAL REV,4.116
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,3.62
JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,3.331
ANIMAL BEHAVIOUR,ANIM BEHAV,3.169
Frontiers in Zoology,FRONT ZOOL,3.042
BEHAVIORAL ECOLOGY,BEHAV ECOL,3.029
INTEGRATIVE AND COMPARATIVE BIOLOGY,INTEGR COMP BIOL,2.957
ZOOLOGICA SCRIPTA,ZOOL SCR,2.733
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,2.546
JOURNAL OF COMPARATIVE PSYCHOLOGY,J COMP PSYCHOL,2.494
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,2.382
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOL J LINN SOC-LOND,2.316
JOURNAL OF MAMMALIAN EVOLUTION,J MAMM EVOL,2.244
JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,2.198
Zebrafish,ZEBRAFISH,2.175
ANIMAL COGNITION,ANIM COGN,2.161
INVERTEBRATE SYSTEMATICS,INVERTEBR SYST,2.155
REPRODUCTION FERTILITY AND DEVELOPMENT,REPROD FERT DEVELOP,2.135
AMERICAN JOURNAL OF PRIMATOLOGY,AM J PRIMATOL,2.103
BRAIN BEHAVIOR AND EVOLUTION,BRAIN BEHAV EVOLUT,2.103
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,2.083
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,COMP BIOCHEM PHYS A,2.039
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,PHYSIOL BIOCHEM ZOOL,2.007
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,1.988
HERPETOLOGICAL MONOGRAPHS,HERPETOL MONOGR,1.9
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY,J COMP PHYSIOL B,1.884
CONTRIBUTIONS TO ZOOLOGY,CONTRIB ZOOL,1.844
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,1.821
JOURNAL OF ZOOLOGY,J ZOOL,1.819
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,J EXP PSYCHOL-ANIM L,1.779
Current Zoology,CURR ZOOL,1.758
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,1.734
JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,1.725
Integrative Zoology,INTEGR ZOOL,1.722
ETHOLOGY,ETHOLOGY,1.717
ZOOLOGY,ZOOLOGY,1.691
MARINE MAMMAL SCIENCE,MAR MAMMAL SCI,1.665
ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,1.655
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,COMP BIOCHEM PHYS B,1.651
INTERNATIONAL JOURNAL OF PRIMATOLOGY,INT J PRIMATOL,1.649
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,S AFR J WILDL RES,1.641
JOURNAL OF HELMINTHOLOGY,J HELMINTHOL,1.63
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,1.621
MAMMALIAN BIOLOGY,MAMM BIOL,1.595
JOURNAL OF MAMMALOGY,J MAMMAL,1.558
LABORATORY ANIMALS,LAB ANIM-UK,1.553
CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,1.52
ZOOLOGISCHER ANZEIGER,ZOOL ANZ,1.512
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,EUR J WILDLIFE RES,1.403
AMPHIBIA-REPTILIA,AMPHIBIA-REPTILIA,1.396
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,BIOACOUSTICS,1.364
JOURNAL OF NEMATOLOGY,J NEMATOL,1.333
BEHAVIOURAL PROCESSES,BEHAV PROCESS,1.318
BEHAVIOUR,BEHAVIOUR,1.315
HERPETOLOGICA,HERPETOLOGICA,1.312
LEARNING & BEHAVIOR,LEARN BEHAV,1.254
SALAMANDRA,SALAMANDRA,1.25
EXPERIMENTAL ANIMALS,EXP ANIM TOKYO,1.247
ZOOMORPHOLOGY,ZOOMORPHOLOGY,1.242
INVERTEBRATE BIOLOGY,INVERTEBR BIOL,1.23
Journal of Experimental Zoology Part A-Ecological Genetics and Physiology,J EXP ZOOL PART A,1.226
MALACOLOGIA,MALACOLOGIA,1.211
ACTA ETHOLOGICA,ACTA ETHOL,1.204
JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,1.185
PACIFIC SCIENCE,PAC SCI,1.163
COPEIA,COPEIA,1.144
PRIMATES,PRIMATES,1.142
AMERICAN MUSEUM NOVITATES,AM MUS NOVIT,1.123
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1.105
NEMATOLOGY,NEMATOLOGY,1.061
AMERICAN MALACOLOGICAL BULLETIN,AM MALACOL BULL,1.049
JOURNAL OF HERPETOLOGY,J HERPETOL,1.03
ICHTHYOLOGICAL RESEARCH,ICHTHYOL RES,1.023
COMPARATIVE MEDICINE,COMPARATIVE MED,1
WILDLIFE RESEARCH,WILDLIFE RES,1
ZOOTAXA,ZOOTAXA,0.994
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,0.989
URSUS,URSUS,0.971
WILDLIFE BIOLOGY,WILDLIFE BIOL,0.968
ZOO BIOLOGY,ZOO BIOL,0.953
ACTA THERIOLOGICA,ACTA THERIOL,0.944
ZooKeys,ZOOKEYS,0.938
JOURNAL OF MEDICAL PRIMATOLOGY,J MED PRIMATOL,0.93
RAFFLES BULLETIN OF ZOOLOGY,RAFFLES B ZOOL,0.927
Neotropical Ichthyology,NEOTROP ICHTHYOL,0.917
Journal of the American Association for Laboratory Animal Science,J AM ASSOC LAB ANIM,0.906
ZOOLOGICAL STUDIES,ZOOL STUD,0.885
TURKISH JOURNAL OF ZOOLOGY,TURK J ZOOL,0.88
AQUATIC MAMMALS,AQUAT MAMM,0.873
European Journal of Taxonomy,EUR J TAXON,0.873
AUSTRALIAN MAMMALOGY,AUST MAMMAL,0.872
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,VET COMP ORTHOPAED,0.853
JOURNAL OF ETHOLOGY,J ETHOL,0.848
South American Journal of Herpetology,S AM J HERPETOL,0.837
ANIMAL WELFARE,ANIM WELFARE,0.824
ITALIAN JOURNAL OF ZOOLOGY,ITAL J ZOOL,0.814
ZOOLOGICAL SCIENCE,ZOOL SCI,0.814
TROPICAL ZOOLOGY,TROP ZOOL,0.81
HERPETOLOGICAL JOURNAL,HERPETOL J,0.808
COMPARATIVE PARASITOLOGY,COMP PARASITOL,0.8
Zoosystematics and Evolution,ZOOSYST EVOL,0.8
FOLIA PRIMATOLOGICA,FOLIA PRIMATOL,0.778
Herpetological Conservation and Biology,HERPETOL CONSERV BIO,0.768
NEW ZEALAND JOURNAL OF ZOOLOGY,NEW ZEAL J ZOOL,0.758
ISJ-Invertebrate Survival Journal,ISJ-INVERT SURVIV J,0.754
ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,0.753
HERPETOZOA,HERPETOZOA,0.75
AFRICAN ZOOLOGY,AFR ZOOL,0.739
Vertebrate Zoology,VERTEBR ZOOL,0.722
RECORDS OF THE AUSTRALIAN MUSEUM,REC AUST MUS,0.714
AFRICAN INVERTEBRATES,AFR INVERTEBR,0.708
MOLLUSCAN RESEARCH,MOLLUSCAN RES,0.708
SPIXIANA,SPIXIANA,0.673
ZOOLOGY IN THE MIDDLE EAST,ZOOL MIDDLE EAST,0.628
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0.622
ANIMAL BIOLOGY,ANIM BIOL,0.617
REDIA-GIORNALE DI ZOOLOGIA,REDIA,0.615
HELMINTHOLOGIA,HELMINTHOLOGIA,0.602
CHELONIAN CONSERVATION AND BIOLOGY,CHELONIAN CONSERV BI,0.6
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,ICHTHYOL EXPLOR FRES,0.594
FOLIA ZOOLOGICA,FOLIA ZOOL,0.592
AUSTRALIAN JOURNAL OF ZOOLOGY,AUST J ZOOL,0.591
Zoologia,ZOOLOGIA-CURITIBA,0.584
ANNALS OF CARNEGIE MUSEUM,ANN CARNEGIE MUS,0.583
BELGIAN JOURNAL OF ZOOLOGY,BELG J ZOOL,0.583
ZOOSYSTEMA,ZOOSYSTEMA,0.549
North-Western Journal of Zoology,NORTH-WEST J ZOOL,0.539
MAMMALIA,MAMMALIA,0.538
BOLETIM DO INSTITUTO DE PESCA,BOL INST PESCA,0.525
Acta Herpetologica,ACTA HERPETOL,0.5
Asian Herpetological Research,ASIAN HERPETOL RES,0.5
CYBIUM,CYBIUM,0.487
INVERTEBRATE REPRODUCTION & DEVELOPMENT,INVERTEBR REPROD DEV,0.486
Animal Cells and Systems,ANIM CELLS SYST,0.481
RUSSIAN JOURNAL OF NEMATOLOGY,RUSS J NEMATOL,0.481
PAKISTAN JOURNAL OF ZOOLOGY,PAK J ZOOL,0.478
AFRICAN JOURNAL OF HERPETOLOGY,AFR J HERPETOL,0.444
REVUE SUISSE DE ZOOLOGIE,REV SUISSE ZOOL,0.431
ACTA AMAZONICA,ACTA AMAZON,0.408
